,Place,Year,median_age,n_pop_under_14,n_pop_under_18,n_pop_18-65,n_pop_65-85,n_pop_over_85,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_people_below_poverty,n_households_below_poverty,n_people_under_18_below_poverty,n_people_18-64_below_poverty,n_people_65_plus_below_poverty,n_population_native,n_population_non_native,n_population_white,n_population_black,n_population_asian,n_population_male,n_population_female,n_total_population(ACS),p_pop_under_14,p_pop_under_18,p_pop_18_65,p_pop_65_85,p_pop_over_85,p_families,p_households,p_occupied_houses,p_people_below_poverty,p_households_below_poverty,p_people_under_18_below_poverty,p_people_18_64_below_poverty,p_people_65_plus_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female
219,Alakanuk,2011,23.6,174,215,273,45,0,,,144,166,144,13.253012048192772,,24.0,,,,473,60,44,1,0,279,254,533,32.645403377110696,40.33771106941838,51.21951219512195,8.442776735459661,0.0,,86.74698795180723,86.74698795180723,,16.666666666666664,,,,88.74296435272045,11.25703564727955,8.25515947467167,0.18761726078799248,0.0,1.0984251968503937
220,Alatna,2011,22.5,3,3,5,0,0,,,2,7,2,71.42857142857143,,0.0,,,,8,0,0,0,0,3,5,8,37.5,37.5,62.5,0.0,0.0,,28.57142857142857,28.57142857142857,,0.0,,,,100.0,0.0,0.0,0.0,0.0,0.6
221,Alcan Border,2011,58.0,0,0,24,0,0,,,12,17,12,29.411764705882355,,0.0,,,,0,24,24,0,0,12,12,24,0.0,0.0,100.0,0.0,0.0,,70.58823529411765,70.58823529411765,,0.0,,,,0.0,100.0,100.0,0.0,0.0,1.0
222,Aleknagik,2011,27.3,55,65,173,16,0,,,65,125,65,48.0,,10.0,,,,210,44,35,0,0,138,116,254,21.653543307086615,25.590551181102363,68.11023622047244,6.299212598425196,0.0,,52.0,52.0,,15.384615384615385,,,,82.67716535433071,17.322834645669293,13.779527559055119,0.0,0.0,1.1896551724137931
223,Aleneva,2011,7.3,56,56,19,0,0,,,10,10,10,0.0,,0.0,,,,0,75,75,0,0,32,43,75,74.66666666666667,74.66666666666667,25.333333333333336,0.0,0.0,,100.0,100.0,,0.0,,,,0.0,100.0,100.0,0.0,0.0,0.7441860465116279
224,Allakaket,2011,39.9,6,6,53,6,0,,,38,58,38,34.48275862068966,,5.0,,,,58,7,3,0,0,42,23,65,9.230769230769232,9.230769230769232,81.53846153846153,9.230769230769232,0.0,,65.51724137931035,65.51724137931035,,13.157894736842104,,,,89.23076923076924,10.76923076923077,4.615384615384616,0.0,0.0,1.826086956521739
225,Ambler,2011,26.5,82,88,149,19,4,,,63,100,63,37.0,,11.0,,,,226,34,31,0,0,132,128,260,31.538461538461537,33.84615384615385,57.30769230769231,7.307692307692308,1.5384615384615385,,63.0,63.0,,17.46031746031746,,,,86.92307692307692,13.076923076923078,11.923076923076923,0.0,0.0,1.03125
226,Anaktuvuk Pass,2011,26.9,114,129,248,30,0,,,110,129,110,14.728682170542637,,4.0,,,,314,93,32,7,0,206,201,407,28.00982800982801,31.695331695331696,60.93366093366094,7.371007371007371,0.0,,85.27131782945736,85.27131782945736,,3.6363636363636362,,,,77.14987714987716,22.85012285012285,7.862407862407863,1.71990171990172,0.0,1.0248756218905473
227,Anchor Point,2011,43.2,369,405,1418,169,33,,,959,1285,959,25.36964980544747,,26.0,,,,100,1925,1828,0,9,1086,939,2025,18.22222222222222,20.0,70.0246913580247,8.345679012345679,1.6296296296296295,,74.63035019455253,74.63035019455253,,2.7111574556830034,,,,4.938271604938271,95.06172839506173,90.27160493827161,0.0,0.4444444444444444,1.156549520766773
260,Anderson,2011,44.4,41,57,322,24,0,,,96,169,96,43.19526627218935,,0.0,,,,0,403,376,13,0,267,136,403,10.173697270471465,14.1439205955335,79.90074441687345,5.955334987593052,0.0,,56.80473372781065,56.80473372781065,,0.0,,,,0.0,100.0,93.30024813895783,3.225806451612903,0.0,1.963235294117647
261,Angoon,2011,34.1,89,115,235,45,4,,,166,251,166,33.86454183266932,,46.0,,,,319,80,42,0,1,210,189,399,22.305764411027567,28.82205513784461,58.89724310776943,11.278195488721805,1.0025062656641603,,66.13545816733067,66.13545816733067,,27.710843373493976,,,,79.9498746867168,20.050125313283207,10.526315789473683,0.0,0.2506265664160401,1.1111111111111112
