,Place,Year,median_age,n_pop_under_14,n_pop_under_18,n_pop_18-65,n_pop_65-85,n_pop_over_85,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_people_below_poverty,n_households_below_poverty,n_people_under_18_below_poverty,n_people_18-64_below_poverty,n_people_65_plus_below_poverty,n_population_native,n_population_non_native,n_population_white,n_population_black,n_population_asian,n_population_male,n_population_female,n_total_population(ACS),p_pop_under_14,p_pop_under_18,p_pop_18_65,p_pop_65_85,p_pop_over_85,p_families,p_households,p_occupied_houses,p_people_below_poverty,p_households_below_poverty,p_people_under_18_below_poverty,p_people_18_64_below_poverty,p_people_65_plus_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female
8789,Mendeltna,2022,53.4,0,0,69,20,0,,,49,69,49,28.985507246376812,40.0,0.0,0.0,40.0,0.0,25,64,64,0,0,49,40,89,0.0,0.0,77.52808988764045,22.47191011235955,0.0,,71.01449275362319,71.01449275362319,44.9438202247191,0.0,0.0,44.9438202247191,0.0,28.08988764044944,71.91011235955057,71.91011235955057,0.0,0.0,1.225
8790,Mentasta Lake,2022,26.7,55,55,79,31,0,,,65,115,65,43.47826086956522,56.0,13.0,36.0,20.0,0.0,129,36,36,0,0,98,67,165,33.33333333333333,33.33333333333333,47.878787878787875,18.787878787878785,0.0,,56.52173913043478,56.52173913043478,33.939393939393945,20.0,21.818181818181817,12.121212121212121,0.0,78.18181818181819,21.818181818181817,21.818181818181817,0.0,0.0,1.462686567164179
8791,Mertarvik,2022,,0,0,0,0,0,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
8792,Metlakatla,2022,38.6,291,358,853,214,12,,,443,486,443,8.847736625514404,208.0,36.0,37.0,139.0,32.0,1232,205,108,5,0,798,639,1437,20.250521920668056,24.91301322199026,59.3597773138483,14.892136395267919,0.8350730688935281,,91.1522633744856,91.1522633744856,14.474599860821154,8.126410835214447,2.5748086290883787,9.672929714683368,2.2268615170494086,85.73416840640222,14.265831593597772,7.515657620041753,0.3479471120389701,0.0,1.2488262910798122
8793,Mill Bay,2022,35.4,1011,1011,2237,330,39,,,1327,1664,1327,20.252403846153847,198.0,90.0,60.0,138.0,0.0,819,2798,1947,3,259,1908,1709,3617,27.951340890240534,27.951340890240534,61.84683439314349,9.12358307990047,1.07824163671551,,79.74759615384616,79.74759615384616,5.474149847940282,6.782215523737754,1.658833287254631,3.8153165606856514,0.0,22.643074371025712,77.3569256289743,53.82914017141277,0.08294166436273154,7.160630356649158,1.1164423639555296
8794,Minto,2022,24.8,31,42,66,5,0,,,47,63,47,25.396825396825395,27.0,4.0,7.0,20.0,0.0,94,19,6,0,0,70,43,113,27.43362831858407,37.16814159292036,58.4070796460177,4.424778761061947,0.0,,74.60317460317461,74.60317460317461,23.893805309734514,8.51063829787234,6.1946902654867255,17.699115044247787,0.0,83.1858407079646,16.8141592920354,5.3097345132743365,0.0,0.0,1.627906976744186
8795,Moose Creek,2022,29.8,31,54,477,53,0,,,242,329,242,26.443768996960486,116.0,26.0,0.0,116.0,0.0,47,537,404,15,3,366,218,584,5.308219178082192,9.246575342465754,81.67808219178082,9.075342465753424,0.0,,73.55623100303951,73.55623100303951,19.863013698630137,10.743801652892563,0.0,19.863013698630137,0.0,8.047945205479452,91.95205479452055,69.17808219178082,2.5684931506849313,0.5136986301369862,1.6788990825688073
8796,Moose Pass,2022,46.5,0,0,147,52,0,,,99,221,99,55.203619909502265,0.0,0.0,0.0,0.0,0.0,0,199,199,0,0,128,71,199,0.0,0.0,73.86934673366834,26.13065326633166,0.0,,44.79638009049774,44.79638009049774,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1.8028169014084507
8797,Mosquito Lake,2022,54.7,0,0,95,59,0,,,81,188,81,56.91489361702128,0.0,0.0,0.0,0.0,0.0,0,154,154,0,0,89,65,154,0.0,0.0,61.68831168831169,38.311688311688314,0.0,,43.08510638297872,43.08510638297872,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,1.3692307692307693
8798,Mountain Village,2022,22.6,298,376,471,35,2,,,200,237,200,15.611814345991561,336.0,68.0,151.0,180.0,5.0,865,19,0,0,0,459,425,884,33.710407239819006,42.53393665158371,53.28054298642534,3.959276018099547,0.22624434389140274,,84.38818565400844,84.38818565400844,38.009049773755656,34.0,17.081447963800905,20.361990950226243,0.5656108597285068,97.85067873303167,2.1493212669683257,0.0,0.0,0.0,1.08
8799,Mud Bay,2022,63.9,0,0,33,29,0,,,62,103,62,39.80582524271845,10.0,0.0,0.0,10.0,0.0,0,62,62,0,0,47,15,62,0.0,0.0,53.2258064516129,46.774193548387096,0.0,,60.19417475728155,60.19417475728155,16.129032258064516,0.0,0.0,16.129032258064516,0.0,0.0,100.0,100.0,0.0,0.0,3.1333333333333333
8800,Nabesna,2022,,0,0,0,0,0,,,0,62,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
8801,Naknek,2022,32.6,60,72,298,42,6,,,132,418,132,68.42105263157895,59.0,3.0,12.0,47.0,0.0,148,270,183,0,27,261,157,418,14.354066985645932,17.22488038277512,71.29186602870813,10.047846889952153,1.4354066985645932,,31.57894736842105,31.57894736842105,14.114832535885165,2.272727272727273,2.8708133971291865,11.24401913875598,0.0,35.406698564593306,64.5933014354067,43.7799043062201,0.0,6.4593301435406705,1.6624203821656052
8802,Nanwalek,2022,39.3,25,44,107,21,0,,,38,57,38,33.33333333333333,13.0,3.0,7.0,6.0,0.0,123,49,15,0,0,58,114,172,14.534883720930234,25.581395348837212,62.2093023255814,12.209302325581394,0.0,,66.66666666666666,66.66666666666666,7.55813953488372,7.894736842105263,4.069767441860465,3.488372093023256,0.0,71.51162790697676,28.488372093023255,8.720930232558139,0.0,0.0,0.5087719298245614
8803,Napakiak,2022,23.0,240,292,359,41,0,,,178,197,178,9.644670050761421,409.0,82.0,190.0,208.0,11.0,686,6,3,0,0,343,349,692,34.68208092485549,42.19653179190752,51.87861271676301,5.924855491329479,0.0,,90.35532994923858,90.35532994923858,59.104046242774565,46.06741573033708,27.45664739884393,30.057803468208093,1.5895953757225432,99.13294797687861,0.8670520231213872,0.4335260115606936,0.0,0.0,0.9828080229226361
8804,Napaskiak,2022,22.5,208,250,253,79,0,,,122,163,122,25.153374233128833,276.0,58.0,110.0,112.0,54.0,564,18,1,0,0,314,268,582,35.738831615120276,42.955326460481096,43.470790378006875,13.573883161512027,0.0,,74.84662576687117,74.84662576687117,47.42268041237113,47.540983606557376,18.900343642611684,19.243986254295535,9.278350515463918,96.90721649484536,3.0927835051546393,0.1718213058419244,0.0,0.0,1.171641791044776
8805,Naukati Bay,2022,58.3,11,11,101,8,0,,,52,58,52,10.344827586206897,41.0,19.0,0.0,41.0,0.0,0,120,93,0,0,77,43,120,9.166666666666666,9.166666666666666,84.16666666666667,6.666666666666667,0.0,,89.65517241379311,89.65517241379311,34.166666666666664,36.53846153846153,0.0,34.166666666666664,0.0,0.0,100.0,77.5,0.0,0.0,1.7906976744186047
8806,Nelchina,2022,39.6,27,44,91,0,0,,,40,40,40,0.0,0.0,0.0,0.0,0.0,0.0,6,129,45,0,0,68,67,135,20.0,32.592592592592595,67.4074074074074,0.0,0.0,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,4.444444444444445,95.55555555555556,33.33333333333333,0.0,0.0,1.0149253731343284
8807,Nelson Lagoon,2022,50.4,0,0,72,22,0,,,34,45,34,24.444444444444443,10.0,3.0,0.0,10.0,0.0,77,17,17,0,0,58,36,94,0.0,0.0,76.59574468085107,23.404255319148938,0.0,,75.55555555555556,75.55555555555556,10.638297872340425,8.823529411764707,0.0,10.638297872340425,0.0,81.91489361702128,18.085106382978726,18.085106382978726,0.0,0.0,1.6111111111111112
8808,Nenana,2022,31.8,170,194,221,82,11,,,202,274,202,26.277372262773724,122.0,25.0,62.0,54.0,6.0,182,326,273,0,0,213,295,508,33.46456692913386,38.188976377952756,43.503937007874015,16.141732283464567,2.1653543307086616,,73.72262773722628,73.72262773722628,24.015748031496063,12.376237623762377,12.204724409448819,10.62992125984252,1.1811023622047243,35.826771653543304,64.1732283464567,53.74015748031496,0.0,0.0,0.7220338983050848
8809,New Stuyahok,2022,32.9,152,183,364,54,2,,,120,134,120,10.44776119402985,124.0,22.0,52.0,67.0,5.0,468,135,10,63,6,325,278,603,25.207296849087896,30.34825870646766,60.3648424543947,8.955223880597014,0.33167495854063017,,89.55223880597015,89.55223880597015,20.563847429519072,18.333333333333332,8.623548922056385,11.11111111111111,0.8291873963515755,77.61194029850746,22.388059701492537,1.658374792703151,10.44776119402985,0.9950248756218906,1.169064748201439
8810,Newhalen,2022,25.0,32,33,59,0,0,,,28,38,28,26.31578947368421,7.0,0.0,0.0,7.0,0.0,81,11,5,0,0,46,46,92,34.78260869565217,35.869565217391305,64.13043478260869,0.0,0.0,,73.68421052631578,73.68421052631578,7.608695652173914,0.0,0.0,7.608695652173914,0.0,88.04347826086956,11.956521739130435,5.434782608695652,0.0,0.0,1.0
8811,Newtok,2022,31.2,18,29,54,13,0,,,27,37,27,27.027027027027028,17.0,4.0,3.0,12.0,2.0,92,4,0,0,0,53,43,96,18.75,30.208333333333332,56.25,13.541666666666666,0.0,,72.97297297297297,72.97297297297297,17.708333333333336,14.814814814814813,3.125,12.5,2.083333333333333,95.83333333333334,4.166666666666666,0.0,0.0,0.0,1.2325581395348837
8812,Nightmute,2022,33.7,9,15,49,6,0,,,16,21,16,23.809523809523807,5.0,0.0,0.0,5.0,0.0,54,16,0,0,0,41,29,70,12.857142857142856,21.428571428571427,70.0,8.571428571428571,0.0,,76.19047619047619,76.19047619047619,7.142857142857142,0.0,0.0,7.142857142857142,0.0,77.14285714285715,22.857142857142858,0.0,0.0,0.0,1.4137931034482758
8813,Nikiski,2022,35.2,1072,1257,2208,888,52,,,1505,1867,1505,19.389394750937335,812.0,81.0,213.0,534.0,65.0,426,3979,3212,36,157,2355,2050,4405,24.335981838819524,28.535754824063563,50.12485811577753,20.158910329171395,1.1804767309875142,,80.61060524906267,80.61060524906267,18.43359818388195,5.382059800664452,4.835414301929625,12.122587968217934,1.4755959137343928,9.67082860385925,90.32917139614075,72.91713961407491,0.8172531214528945,3.564131668558456,1.148780487804878
8814,Nikolaevsk,2022,47.5,32,43,112,44,5,,,86,153,86,43.790849673202615,70.0,11.0,23.0,39.0,8.0,0,204,197,0,4,115,89,204,15.686274509803921,21.07843137254902,54.90196078431373,21.568627450980394,2.450980392156863,,56.209150326797385,56.209150326797385,34.31372549019608,12.790697674418606,11.27450980392157,19.11764705882353,3.9215686274509802,0.0,100.0,96.56862745098039,0.0,1.9607843137254901,1.2921348314606742
8815,Nikolai,2022,36.4,11,11,67,6,3,,,57,64,57,10.9375,45.0,10.0,11.0,34.0,0.0,50,37,1,2,0,48,39,87,12.643678160919542,12.643678160919542,77.01149425287356,6.896551724137931,3.4482758620689653,,89.0625,89.0625,51.724137931034484,17.543859649122805,12.643678160919542,39.08045977011494,0.0,57.47126436781609,42.5287356321839,1.1494252873563218,2.2988505747126435,0.0,1.2307692307692308
8816,Nikolski,2022,14.5,6,9,3,0,0,,,2,5,2,60.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0,0,5,7,12,50.0,75.0,25.0,0.0,0.0,,40.0,40.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.7142857142857143
8817,Ninilchik,2022,51.3,195,218,520,213,13,,,408,949,408,57.007376185458384,162.0,24.0,42.0,85.0,35.0,97,867,750,0,10,545,419,964,20.228215767634854,22.61410788381743,53.941908713692946,22.095435684647303,1.3485477178423237,,42.99262381454162,42.99262381454162,16.804979253112034,5.88235294117647,4.356846473029045,8.817427385892117,3.630705394190872,10.062240663900415,89.93775933609959,77.80082987551867,0.0,1.0373443983402488,1.3007159904534606
8818,Noatak,2022,25.8,176,200,299,30,7,,,102,115,102,11.304347826086957,35.0,10.0,12.0,21.0,2.0,526,10,6,4,0,317,219,536,32.83582089552239,37.3134328358209,55.78358208955224,5.597014925373134,1.3059701492537312,,88.69565217391305,88.69565217391305,6.529850746268656,9.803921568627452,2.2388059701492535,3.9179104477611943,0.3731343283582089,98.13432835820896,1.8656716417910446,1.1194029850746268,0.7462686567164178,0.0,1.447488584474886
8819,Nome,2022,31.0,967,1127,2350,215,18,,,1173,1495,1173,21.53846153846154,212.0,36.0,53.0,144.0,15.0,1990,1720,993,68,111,1858,1852,3710,26.064690026954178,30.377358490566035,63.342318059299195,5.795148247978436,0.48517520215633425,,78.46153846153847,78.46153846153847,5.714285714285714,3.0690537084398977,1.4285714285714286,3.881401617250674,0.40431266846361186,53.63881401617251,46.36118598382749,26.765498652291104,1.8328840970350404,2.9919137466307277,1.0032397408207343
8820,Nondalton,2022,55.0,0,1,29,10,0,,,22,76,22,71.05263157894737,1.0,0.0,0.0,1.0,0.0,31,9,6,3,0,20,20,40,0.0,2.5,72.5,25.0,0.0,,28.947368421052634,28.947368421052634,2.5,0.0,0.0,2.5,0.0,77.5,22.5,15.0,7.5,0.0,1.0
8821,Noorvik,2022,26.7,221,261,345,45,3,,,120,155,120,22.58064516129032,147.0,28.0,62.0,80.0,5.0,590,64,13,0,33,361,293,654,33.79204892966361,39.908256880733944,52.752293577981646,6.8807339449541285,0.45871559633027525,,77.41935483870968,77.41935483870968,22.477064220183486,23.333333333333332,9.480122324159021,12.232415902140673,0.764525993883792,90.21406727828746,9.785932721712538,1.9877675840978593,0.0,5.045871559633028,1.2320819112627985
8822,North Lakes,2022,35.6,2213,2681,6328,1177,76,,,3594,3899,3594,7.822518594511413,1015.0,173.0,320.0,616.0,79.0,381,9881,8073,45,162,5400,4862,10262,21.564997076593258,26.125511596180083,61.66439290586631,11.469499122977977,0.7405963749756382,,92.17748140548858,92.17748140548858,9.890859481582538,4.813578185865331,3.118300526213214,6.002728512960437,0.7698304424088871,3.712726564022608,96.2872734359774,78.66887546287273,0.43851101149873317,1.5786396413954396,1.1106540518305223
8823,North Pole,2022,28.4,912,970,1698,137,11,,,1013,1150,1013,11.91304347826087,190.0,29.0,98.0,92.0,0.0,207,2609,1964,140,83,1511,1305,2816,32.38636363636363,34.44602272727273,60.29829545454546,4.865056818181818,0.390625,,88.08695652173914,88.08695652173914,6.747159090909091,2.8627838104639687,3.4801136363636362,3.2670454545454546,0.0,7.3508522727272725,92.64914772727273,69.74431818181817,4.971590909090909,2.947443181818182,1.1578544061302682
8824,Northway,2022,37.0,103,119,58,58,17,,,53,109,53,51.37614678899083,76.0,8.0,42.0,15.0,19.0,184,68,41,0,0,136,116,252,40.87301587301587,47.22222222222222,23.015873015873016,23.015873015873016,6.746031746031746,,48.62385321100918,48.62385321100918,30.158730158730158,15.09433962264151,16.666666666666664,5.952380952380952,7.5396825396825395,73.01587301587301,26.984126984126984,16.26984126984127,0.0,0.0,1.1724137931034482
8825,Nuiqsut,2022,23.5,209,235,269,51,9,,,107,136,107,21.323529411764707,57.0,8.0,23.0,17.0,17.0,450,114,87,0,0,235,329,564,37.05673758865248,41.66666666666667,47.695035460992905,9.042553191489363,1.5957446808510638,,78.67647058823529,78.67647058823529,10.106382978723403,7.476635514018691,4.078014184397164,3.0141843971631204,3.0141843971631204,79.7872340425532,20.212765957446805,15.425531914893616,0.0,0.0,0.7142857142857143
8826,Nulato,2022,37.6,52,58,151,40,0,,,77,119,77,35.294117647058826,38.0,10.0,3.0,25.0,10.0,230,19,19,0,0,137,112,249,20.883534136546185,23.293172690763054,60.6425702811245,16.06425702811245,0.0,,64.70588235294117,64.70588235294117,15.261044176706829,12.987012987012985,1.2048192771084338,10.040160642570282,4.016064257028113,92.3694779116466,7.630522088353414,7.630522088353414,0.0,0.0,1.2232142857142858
8827,Nunam Iqua,2022,21.8,16,22,27,10,0,,,16,23,16,30.434782608695656,44.0,10.0,19.0,18.0,7.0,59,0,0,0,0,33,26,59,27.11864406779661,37.28813559322034,45.76271186440678,16.94915254237288,0.0,,69.56521739130434,69.56521739130434,74.57627118644068,62.5,32.20338983050847,30.508474576271187,11.864406779661017,100.0,0.0,0.0,0.0,0.0,1.2692307692307692
8828,Nunapitchuk,2022,21.9,338,362,378,83,4,,,153,164,153,6.707317073170732,290.0,49.0,144.0,111.0,35.0,816,11,0,0,0,398,429,827,40.87061668681983,43.772672309552604,45.70737605804111,10.036275695284159,0.48367593712212814,,93.29268292682927,93.29268292682927,35.066505441354295,32.02614379084967,17.412333736396615,13.422007255139057,4.2321644498186215,98.66989117291415,1.3301088270858523,0.0,0.0,0.0,0.9277389277389277
8829,Old Harbor,2022,32.8,33,36,104,14,1,,,75,128,75,41.40625,69.0,17.0,24.0,45.0,0.0,98,57,29,0,0,85,70,155,21.29032258064516,23.225806451612904,67.0967741935484,9.032258064516128,0.6451612903225806,,58.59375,58.59375,44.516129032258064,22.666666666666664,15.483870967741936,29.03225806451613,0.0,63.2258064516129,36.774193548387096,18.70967741935484,0.0,0.0,1.2142857142857142
8830,Oscarville,2022,20.5,30,30,55,0,3,,,20,27,20,25.925925925925924,20.0,4.0,5.0,15.0,0.0,87,1,1,0,0,43,45,88,34.090909090909086,34.090909090909086,62.5,0.0,3.4090909090909087,,74.07407407407408,74.07407407407408,22.727272727272727,20.0,5.681818181818182,17.045454545454543,0.0,98.86363636363636,1.1363636363636365,1.1363636363636365,0.0,0.0,0.9555555555555556
8831,Ouzinkie,2022,54.0,8,15,55,20,0,,,40,68,40,41.17647058823529,10.0,5.0,3.0,7.0,0.0,42,48,4,0,0,44,46,90,8.88888888888889,16.666666666666664,61.111111111111114,22.22222222222222,0.0,,58.82352941176471,58.82352941176471,11.11111111111111,12.5,3.3333333333333335,7.777777777777778,0.0,46.666666666666664,53.333333333333336,4.444444444444445,0.0,0.0,0.9565217391304348
8832,Palmer,2022,31.2,1187,1447,3851,737,56,,,2232,2423,2232,7.882789929839043,564.0,78.0,144.0,352.0,68.0,614,5477,4273,158,112,3110,2981,6091,19.487768839271055,23.75636184534559,63.22442948612708,12.099819405680512,0.9193892628468231,,92.11721007016097,92.11721007016097,9.259563290100148,3.494623655913978,2.364143818748974,5.7790182236086025,1.1164012477425709,10.080446560499096,89.9195534395009,70.15268428829421,2.59399113446068,1.8387785256936462,1.0432740691043274
8833,Paxson,2022,,0,0,0,0,0,,,0,229,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
8834,Pedro Bay,2022,57.5,2,2,9,2,0,,,10,29,10,65.51724137931035,0.0,0.0,0.0,0.0,0.0,10,3,1,0,0,3,10,13,15.384615384615385,15.384615384615385,69.23076923076923,15.384615384615385,0.0,,34.48275862068966,34.48275862068966,0.0,0.0,0.0,0.0,0.0,76.92307692307693,23.076923076923077,7.6923076923076925,0.0,0.0,0.3
8835,Pelican,2022,48.6,0,0,42,15,0,,,36,75,36,52.0,6.0,0.0,0.0,6.0,0.0,16,41,35,0,0,28,29,57,0.0,0.0,73.68421052631578,26.31578947368421,0.0,,48.0,48.0,10.526315789473683,0.0,0.0,10.526315789473683,0.0,28.07017543859649,71.9298245614035,61.40350877192983,0.0,0.0,0.9655172413793104
8836,Perryville,2022,20.3,29,36,44,5,0,,,24,46,24,47.82608695652174,27.0,6.0,11.0,16.0,0.0,82,3,1,0,0,33,52,85,34.11764705882353,42.35294117647059,51.76470588235295,5.88235294117647,0.0,,52.17391304347826,52.17391304347826,31.76470588235294,25.0,12.941176470588237,18.823529411764707,0.0,96.47058823529412,3.5294117647058822,1.1764705882352942,0.0,0.0,0.6346153846153846
8837,Petersburg,2022,49.8,487,606,1890,778,43,,,1225,1475,1225,16.94915254237288,153.0,33.0,41.0,92.0,20.0,268,3049,1891,39,602,1641,1676,3317,14.681941513415737,18.269520651190835,56.97919807054568,23.454929152848962,1.2963521254145314,,83.05084745762711,83.05084745762711,4.612601748567982,2.693877551020408,1.236056677720832,2.7735905939101597,0.6029544769369912,8.079589990955682,91.92041000904432,57.009345794392516,1.175761230027133,18.148929755803437,0.9791169451073986
8838,Petersville,2022,52.1,12,12,13,13,0,,,13,208,13,93.75,0.0,0.0,0.0,0.0,0.0,0,38,31,0,0,19,19,38,31.57894736842105,31.57894736842105,34.21052631578947,34.21052631578947,0.0,,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,100.0,81.57894736842105,0.0,0.0,1.0
8839,Pilot Point,2022,35.0,20,22,36,14,0,,,27,72,27,62.5,22.0,4.0,9.0,11.0,2.0,60,12,5,0,0,44,28,72,27.77777777777778,30.555555555555557,50.0,19.444444444444446,0.0,,37.5,37.5,30.555555555555557,14.814814814814813,12.5,15.277777777777779,2.7777777777777777,83.33333333333334,16.666666666666664,6.944444444444445,0.0,0.0,1.5714285714285714
8840,Pilot Station,2022,23.4,124,145,200,30,5,,,83,93,83,10.75268817204301,144.0,28.0,60.0,68.0,16.0,363,17,0,0,0,208,172,380,32.631578947368425,38.15789473684211,52.63157894736842,7.894736842105263,1.3157894736842104,,89.24731182795699,89.24731182795699,37.89473684210527,33.734939759036145,15.789473684210526,17.894736842105264,4.2105263157894735,95.52631578947368,4.473684210526316,0.0,0.0,0.0,1.2093023255813953
8841,Pitkas Point,2022,22.4,85,109,115,15,0,,,55,60,55,8.333333333333332,93.0,18.0,47.0,46.0,0.0,239,0,0,0,0,134,105,239,35.56485355648535,45.60669456066946,48.11715481171548,6.2761506276150625,0.0,,91.66666666666666,91.66666666666666,38.912133891213394,32.72727272727273,19.665271966527197,19.246861924686193,0.0,100.0,0.0,0.0,0.0,0.0,1.276190476190476
8842,Platinum,2022,23.8,3,3,18,2,0,,,6,23,6,73.91304347826086,0.0,0.0,0.0,0.0,0.0,23,0,0,0,0,13,10,23,13.043478260869565,13.043478260869565,78.26086956521739,8.695652173913043,0.0,,26.08695652173913,26.08695652173913,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.3
8843,Pleasant Valley,2022,46.1,136,181,396,46,0,,,260,282,260,7.801418439716312,0.0,0.0,0.0,0.0,0.0,0,623,545,0,0,337,286,623,21.829855537720707,29.052969502407706,63.56340288924559,7.3836276083467105,0.0,,92.19858156028369,92.19858156028369,0.0,0.0,0.0,0.0,0.0,0.0,100.0,87.47993579454254,0.0,0.0,1.1783216783216783
8844,Point Baker,2022,,0,0,0,0,0,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
8845,Point Hope,2022,24.7,238,273,320,46,10,,,149,175,149,14.857142857142858,128.0,29.0,67.0,61.0,0.0,551,98,15,4,0,359,290,649,36.67180277349769,42.06471494607088,49.30662557781202,7.0878274268104775,1.5408320493066257,,85.14285714285714,85.14285714285714,19.72265023112481,19.463087248322147,10.323574730354391,9.399075500770417,0.0,84.89984591679507,15.10015408320493,2.311248073959938,0.6163328197226503,0.0,1.2379310344827585
8846,Point Lay,2022,23.8,54,75,91,6,0,,,43,61,43,29.508196721311474,40.0,7.0,23.0,14.0,3.0,155,17,6,4,0,98,74,172,31.3953488372093,43.604651162790695,52.90697674418605,3.488372093023256,0.0,,70.49180327868852,70.49180327868852,23.25581395348837,16.27906976744186,13.372093023255813,8.13953488372093,1.744186046511628,90.11627906976744,9.883720930232558,3.488372093023256,2.3255813953488373,0.0,1.3243243243243243
8847,Point MacKenzie,2022,45.2,30,107,1510,90,0,,,126,291,126,56.70103092783505,29.0,17.0,0.0,29.0,0.0,411,1296,1001,162,2,1430,277,1707,1.7574692442882252,6.2683069712946695,88.45928529584064,5.272407732864675,0.0,,43.29896907216495,43.29896907216495,1.698886936145284,13.492063492063492,0.0,1.698886936145284,0.0,24.077328646748683,75.92267135325132,58.64089045108377,9.490333919156415,0.11716461628588166,5.162454873646209
8848,Point Possession,2022,,0,0,0,0,0,,,0,93,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
8849,Pope-Vannoy Landing,2022,,0,0,0,0,0,,,0,14,0,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,,,,,,,,,,,
8850,Port Alexander,2022,57.8,3,3,25,11,0,,,24,81,24,70.37037037037037,12.0,2.0,0.0,9.0,3.0,0,39,39,0,0,23,16,39,7.6923076923076925,7.6923076923076925,64.1025641025641,28.205128205128204,0.0,,29.629629629629626,29.629629629629626,30.76923076923077,8.333333333333332,0.0,23.076923076923077,7.6923076923076925,0.0,100.0,100.0,0.0,0.0,1.4375
8851,Port Alsworth,2022,33.3,28,30,122,2,4,,,21,63,21,66.66666666666666,1.0,0.0,0.0,1.0,0.0,18,140,51,19,0,104,54,158,17.72151898734177,18.9873417721519,77.21518987341773,1.2658227848101267,2.5316455696202533,,33.33333333333333,33.33333333333333,0.6329113924050633,0.0,0.0,0.6329113924050633,0.0,11.39240506329114,88.60759493670885,32.278481012658226,12.025316455696203,0.0,1.9259259259259258
8852,Port Clarence,2022,21.7,0,0,40,0,0,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0,40,40,0,0,40,0,40,0.0,0.0,100.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,inf
8853,Port Graham,2022,34.3,40,46,82,11,3,,,45,74,45,39.189189189189186,54.0,11.0,29.0,23.0,2.0,121,21,11,0,0,97,45,142,28.169014084507044,32.3943661971831,57.74647887323944,7.746478873239436,2.112676056338028,,60.810810810810814,60.810810810810814,38.028169014084504,24.444444444444443,20.422535211267608,16.19718309859155,1.4084507042253522,85.2112676056338,14.788732394366196,7.746478873239436,0.0,0.0,2.1555555555555554
8854,Port Heiden,2022,36.3,16,18,41,4,0,,,28,55,28,49.09090909090909,29.0,7.0,10.0,17.0,2.0,54,9,9,0,0,32,31,63,25.396825396825395,28.57142857142857,65.07936507936508,6.349206349206349,0.0,,50.90909090909091,50.90909090909091,46.03174603174603,25.0,15.873015873015872,26.984126984126984,3.1746031746031744,85.71428571428571,14.285714285714285,14.285714285714285,0.0,0.0,1.032258064516129
8855,Port Lions,2022,56.8,11,14,73,32,5,,,66,122,66,45.90163934426229,5.0,0.0,0.0,5.0,0.0,54,70,47,0,0,56,68,124,8.870967741935484,11.29032258064516,58.87096774193549,25.806451612903224,4.032258064516129,,54.09836065573771,54.09836065573771,4.032258064516129,0.0,0.0,4.032258064516129,0.0,43.54838709677419,56.451612903225815,37.903225806451616,0.0,0.0,0.8235294117647058
8856,Port Protection,2022,,0,0,14,0,0,,,14,41,14,65.85365853658537,0.0,0.0,0.0,0.0,0.0,0,14,14,0,0,0,14,14,0.0,0.0,100.0,0.0,0.0,,34.146341463414636,34.146341463414636,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
8857,Portage Creek,2022,,0,0,3,0,0,,,2,16,2,87.5,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,3,0,3,0.0,0.0,100.0,0.0,0.0,,12.5,12.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,inf
8858,Primrose,2022,35.2,16,16,68,0,0,,,22,71,22,69.01408450704226,0.0,0.0,0.0,0.0,0.0,0,84,84,0,0,15,69,84,19.047619047619047,19.047619047619047,80.95238095238095,0.0,0.0,,30.985915492957744,30.985915492957744,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.21739130434782608
