,year,commname,adj_households_in_community,relying_on_substinence,BoroughCensusArea,sqMiLand,sqMiWater,resource,using,trying,harvesting,giving,receving,units_harvested,pounds_harvested,harv_mes_units,units_harvested_by_sample,lbs_harvested_percapita,lbs_harvested_by_sample,lbs_used_percapita,perc_contribution_to_harvest,labor_force,employed,unemployed,unemployment_rate,median_age,n_families,median_family_income,n_households,n_houses,n_occupied_houses,house_vacancy_rate,n_total_population(ACS),p_people_below_poverty,p_households_below_poverty,p_population_native,p_population_non_native,p_population_white,p_population_black,p_population_asian,ratio_male_over_female,local_tax_burden,federal_tax_burden,Gini,AGI,pop_density
2685,2011,Wiseman,5.0,YES,Yukon-Koyukuk Census Area,,,Birds and Eggs,1.0,0.8,0.8,0.4,0.4,312.0,312.0,lb.,311.820007324219,23.9861545562744,311.820007324219,23.9861545562744,0.0816603004932404,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
2684,2011,Wiseman,5.0,YES,Yukon-Koyukuk Census Area,,,Marine Mammals,0.2,,,,0.2,,,lb.,0.0,,,,,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,
2513,2011,Tok,555.0,YES,Southeast Fairbanks Census Area,,,Plants/Greens/Mushrooms,0.317,0.338,0.317,0.085,0.049,1300.0,1353.0,Gal.,332.4375,1.03108763694763,346.0625,3.25365424156189,0.0051052290946245,3194.0,2789.0,405.0,12.7,36.5,1747.0,8652.0,2523.0,3873.0,2523.0,34.856700232378,7000.0,,5.469678953626635,9.1,90.9,81.24285714285713,2.3285714285714283,0.8999999999999999,1.2335673261008295,0.001937085801161,0.0142170357891276,0.3028331216654724,2861820.0,
2510,2011,Tok,555.0,YES,Southeast Fairbanks Census Area,,,Fish,0.768,0.641,0.62,0.394,0.556,98892.0,98892.0,lb.,25462.984375,75.3855361938477,25462.984375,98.2086791992188,0.373256772756577,3194.0,2789.0,405.0,12.7,36.5,1747.0,8652.0,2523.0,3873.0,2523.0,34.856700232378,7000.0,,5.469678953626635,9.1,90.9,81.24285714285713,2.3285714285714283,0.8999999999999999,1.2335673261008295,0.001937085801161,0.0142170357891276,0.3028331216654724,2861820.0,
529,2011,Coldfoot,5.0,YES,Yukon-Koyukuk Census Area,37.0,,Marine Mammals,,,,,,,,lb.,0.0,,,,,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,151.7027027027027
528,2011,Coldfoot,5.0,YES,Yukon-Koyukuk Census Area,37.0,,Land Mammals,1.0,0.5,0.25,0.5,0.75,325.0,325.0,lb.,260.0,32.5,260.0,32.5,0.852459013462067,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,151.7027027027027
531,2011,Coldfoot,5.0,YES,Yukon-Koyukuk Census Area,37.0,,Plants/Greens/Mushrooms,0.25,0.25,0.25,,,1.0,1.0,Gal.,1.0,0.125,1.0,0.0049999998882412,0.0032786885276436,2703.0,2196.0,507.0,18.8,35.3,1197.0,4731.0,2041.0,4027.0,2041.0,49.31710951080209,5613.0,,10.485056344928957,68.10974523427757,31.890254765722432,22.198467842508464,0.0712631391412791,0.6235524674861928,1.148105625717566,0.0008894225424143,0.0199453005136414,0.2696984970484404,34147.0,151.7027027027027
2159,2011,Selawik,169.0,YES,Northwest Arctic Borough,2.5,0.9,Plants/Greens/Mushrooms,0.406,0.286,0.264,0.241,0.175,1129.69995117188,1129.69995117188,lb.,300.299987792969,1.31925535202026,405.299987792969,3.24939751625061,0.0020000000949949,2980.0,2510.0,470.0,15.8,25.8,1384.0,3922.0,1797.0,2699.0,1797.0,33.41978510559466,7532.0,,13.132999443516974,79.06266595857674,20.937334041423263,11.776420605416888,0.3451938396176314,1.20817843866171,1.1618828932261769,0.0013394442113416,0.0138301649291546,0.2906037873800761,1409948.0,3012.8
2158,2011,Selawik,169.0,YES,Northwest Arctic Borough,2.5,0.9,Birds and Eggs,0.659,0.538,0.483,0.494,0.417,14021.099609375,14021.099609375,lb.,2333.0,16.3731002807617,4764.5,24.8453712463379,0.0299999993294477,2980.0,2510.0,470.0,15.8,25.8,1384.0,3922.0,1797.0,2699.0,1797.0,33.41978510559466,7532.0,,13.132999443516974,79.06266595857674,20.937334041423263,11.776420605416888,0.3451938396176314,1.20817843866171,1.1618828932261769,0.0013394442113416,0.0138301649291546,0.2906037873800761,1409948.0,3012.8
2157,2011,Selawik,169.0,YES,Northwest Arctic Borough,2.5,0.9,Marine Mammals,0.747,0.099,0.033,0.297,0.747,3509.89990234375,3509.89990234375,lb.,6.0,4.098708152771,1876.0,5.486891746521,0.0069999997504055,2980.0,2510.0,470.0,15.8,25.8,1384.0,3922.0,1797.0,2699.0,1797.0,33.41978510559466,7532.0,,13.132999443516974,79.06266595857674,20.937334041423263,11.776420605416888,0.3451938396176314,1.20817843866171,1.1618828932261769,0.0013394442113416,0.0138301649291546,0.2906037873800761,1409948.0,3012.8
2116,2011,Russian Mission,79.0,YES,Kusilvak Census Area,5.7,0.5,Birds and Eggs,0.891,0.804,0.783,0.391,0.587,2834.56909179688,3804.43774414063,,1607.0,9.46684741973877,2171.88989257813,10.6213932037354,0.0288000013679266,2758.0,2165.0,593.0,21.5,21.7,1387.0,3142.0,1714.0,2177.0,1714.0,21.267799724391363,7473.0,,21.58693115519253,90.9541014318212,9.045898568178776,3.358758196172889,0.1204335608189482,0.2810116419108792,1.1062570462232244,,,,,1311.0526315789473
