Quarter,Area,"Number of Loans","Average Loan","Total Loan","% Loan Volume","Average Sales Price","Total Sales Volume","% Market Value"
2019Q2,"Kodiak Island",21,313242,6578079,1.7,354714,7449000,1.7
2019Q2,Bethel,8,307352,2458816,.6,281938,2255500,.5
2019Q2,"Rest of State",72,266966,19221573,4.9,297766,21439142,4.8
2019Q2,"Statewide Total",1324,294327,389689571,100.0,337063,446271250,100.0
2019Q3,Anchorage,636,354439,225423476,44.4,408974,260107470,44.5
2019Q3,Matanuska-Susitna,321,273236,87708800,17.3,303969,97574082,16.7
2019Q3,"Fairbanks North Star",272,258555,70327029,13.9,287564,78217416,13.4
2019Q3,"Kenai Peninsula",230,251210,57778318,11.4,293679,67546219,11.5
2019Q3,Juneau,58,350626,20336317,4.0,414366,24033255,4.1
2019Q3,"Ketchikan Gateway",19,311730,5922861,1.2,360608,6851550,1.2
2019Q3,"Kodiak Island",33,325815,10751899,2.1,350936,11580900,2.0
2019Q3,Bethel,13,304066,3952856,.8,333077,4330000,.7
2019Q3,"Rest of State",94,271589,25529325,5.0,368866,34673413,5.9
2019Q3,"Statewide Total",1676,302942,507730881,100.0,348994,584914305,100.0
2019Q4,Anchorage,475,328142,155867291,40.4,378338,179710697,40.4
2019Q4,Matanuska-Susitna,283,255738,72373753,18.8,293661,83106055,18.7
2019Q4,"Fairbanks North Star",207,242830,50265761,13.0,275347,56996828,12.8
2019Q4,"Kenai Peninsula",144,231857,33387459,8.7,274267,39494475,8.9
2019Q4,Juneau,76,345399,26250297,6.8,406302,30878953,6.9
2019Q4,"Ketchikan Gateway",46,314648,14473795,3.8,367198,16891126,3.8
2019Q4,"Kodiak Island",22,292313,6430882,1.7,318909,7016000,1.6
2019Q4,Bethel,9,315493,2839438,.7,331667,2985000,.7
2019Q4,"Rest of State",98,242524,23767351,6.2,283132,27746957,6.2
2019Q4,"Statewide Total",1360,283571,385656027,100.0,327078,444826091,100.0
2019YR,Anchorage,1906,336895,642121026,42.7,389477,742343232,43.0
2019YR,Matanuska-Susitna,1035,266044,275355242,18.3,301689,312247678,18.1
2019YR,"Fairbanks North Star",774,248435,192288560,12.8,277790,215009674,12.4
2019YR,"Kenai Peninsula",645,240329,155012415,10.3,280535,180945214,10.5
2019YR,Juneau,236,348123,82157028,5.5,407082,96071363,5.6
2019YR,"Ketchikan Gateway",122,311850,38045742,2.5,355758,43402476,2.5
2019YR,"Kodiak Island",84,313662,26347571,1.8,345689,29037900,1.7
2019YR,Bethel,36,310435,11175674,.7,323433,11643600,.7
2019YR,"Rest of State",314,255525,80234987,5.3,309186,97084252,5.6
2019YR,"Statewide Total",5152,291681,1502738245,100.0,335362,1727785389,100.0
2018Q1,Anchorage,402,325483,130844010,41.7,378875,152307643,41.3
2018Q1,Matanuska-Susitna,223,258408,57624881,18.4,295072,65801053,17.8
2018Q1,"Fairbanks North Star",118,250089,29510464,9.4,277308,32722361,8.9
2018Q1,"Kenai Peninsula",133,232601,30935984,9.9,279323,37150003,10.1
2018Q1,Juneau,65,356734,23187711,7.4,436233,28355153,7.7
2018Q1,"Ketchikan Gateway",33,235415,7768701,2.5,363509,11995800,3.2
2018Q1,"Kodiak Island",14,257912,3610774,1.2,282750,3958500,1.1
2018Q1,Bethel,9,276843,2491585,.8,351111,3160000,.9
2018Q1,"Rest of State",116,240578,27907020,8.9,290180,33660935,9.1
2018Q1,"Statewide Total",1113,282014,313881130,100.0,331637,369111448,100.0
2018Q2,Anchorage,523,344597,180224068,43.6,399910,209153101,44.2
2018Q2,Matanuska-Susitna,294,264579,77786218,18.8,298565,87778246,18.5
2018Q2,"Fairbanks North Star",177,252311,44659054,10.8,284889,50425384,10.7
2018Q2,"Kenai Peninsula",178,244167,43461729,10.5,279582,49765643,10.5
2018Q2,Juneau,64,351648,22505483,5.4,412319,26388400,5.6
2018Q2,"Ketchikan Gateway",25,285660,7141492,1.7,304860,7621500,1.6
2018Q2,"Kodiak Island",31,311880,9668272,2.3,345534,10711540,2.3
2018Q2,Bethel,11,264425,2908678,.7,274545,3020000,.6
2018Q2,"Rest of State",98,252809,24775259,6.0,289843,28404565,6.0
2018Q2,"Statewide Total",1401,294882,413130253,100.0,337808,473268379,100.0
2018Q3,Anchorage,672,340678,228935693,47.0,395071,265487943,47.5
2018Q3,Matanuska-Susitna,323,257959,83320821,17.1,289432,93486684,16.7
2018Q3,"Fairbanks North Star",261,242940,63407326,13.0,271710,70916426,12.7
2018Q3,"Kenai Peninsula",197,242630,47798142,9.8,283978,55943581,10.0
2018Q3,Juneau,60,330134,19808017,4.1,394625,23677513,4.2
2018Q3,"Ketchikan Gateway",23,299080,6878838,1.4,352450,8106340,1.5
2018Q3,"Kodiak Island",28,338722,9484214,1.9,368036,10305000,1.8
2018Q3,Bethel,12,292521,3510253,.7,329250,3951000,.7
2018Q3,"Statewide Total",1669,291626,486723261,100.0,334843,558852587,100.0
2018Q4,Anchorage,485,334908,162430385,45.3,389357,188838000,45.9
2018Q4,Matanuska-Susitna,279,260978,72812882,20.3,291481,81323118,19.8
2018Q4,"Fairbanks North Star",183,224466,41077323,11.5,256567,46951736,11.4
2018Q4,"Kenai Peninsula",128,230054,29446910,8.2,268081,34314383,8.3
2018Q4,Juneau,50,331206,16560289,4.6,389106,19455300,4.7
2018Q4,"Ketchikan Gateway",26,304384,7913973,2.2,355919,9253900,2.2
2018Q4,"Kodiak Island",16,303320,4853115,1.4,333063,5329000,1.3
2018Q4,Bethel,8,279557,2236453,.6,287813,2302500,.6
2018Q4,"Rest of State",87,242847,21127712,5.9,272430,23701390,5.8
2018Q4,"Statewide Total",1262,284040,358459042,100.0,326045,411469327,100.0
2018YR,Anchorage,2082,337384,702434156,44.7,391828,815786687,45.0
2018YR,Matanuska-Susitna,1119,260540,291544802,18.5,293467,328389101,18.1
2018YR,"Fairbanks North Star",739,241751,178654167,11.4,272011,201015907,11.1
2018YR,"Kenai Peninsula",636,238432,151642765,9.6,278575,177173610,9.8
2018YR,Juneau,239,343354,82061500,5.2,409525,97876366,5.4
2018YR,"Ketchikan Gateway",107,277598,29703004,1.9,345584,36977540,2.0
2018YR,"Kodiak Island",89,310296,27616375,1.8,340495,30304040,1.7
2018YR,Bethel,40,278674,11146969,.7,310838,12433500,.7
2018YR,"Rest of State",301,245216,73809991,4.7,284940,85766890,4.7
2018YR,"Statewide Total",5445,288741,1572193686,100.0,332911,1812701741,100.0
2017Q1,Anchorage,474,321856,152559813,48.7,361199,171208151,49.4
2017Q1,Matanuska-Susitna,231,258999,59828811,19.1,283156,65408935,18.9
2017Q1,"Fairbanks North Star",105,225685,23696901,7.6,247941,26033788,7.5
2017Q1,"Kenai Peninsula",106,231666,24556557,7.8,258139,27362682,7.9
2017Q1,Juneau,35,343692,12029204,3.8,375943,13158000,3.8
2017Q1,"Ketchikan Gateway",13,214537,2788982,.9,252669,3284700,.9
2017Q1,"Kodiak Island",14,208114,2913598,.9,240676,3369465,1.0
2017Q1,Bethel,1,481500,481500,.2,535000,535000,.2
2017Q1,"Rest of State",128,266828,34154045,10.9,283530,36291804,10.5
2017Q1,"Statewide Total",1107,282755,313009411,100.0,313146,346652525,100.0
2017Q2,Anchorage,641,340418,218207725,49.1,389746,249827292,50.1
2017Q2,Matanuska-Susitna,270,261959,70728992,15.9,286621,77387623,15.5
2017Q2,"Fairbanks North Star",197,238707,47025270,10.6,260140,51247600,10.3
2017Q2,"Kenai Peninsula",148,234069,34642188,7.8,266784,39484093,7.9
2017Q2,Juneau,56,351284,19671902,4.4,390086,21844800,4.4
2017Q2,"Ketchikan Gateway",10,290865,2908651,.7,328000,3280000,.7
2017Q2,"Kodiak Island",26,308060,8009552,1.8,324692,8442000,1.7
2017Q2,Bethel,4,286913,1147650,.3,290375,1161500,.2
2017Q2,"Rest of State",160,260146,41623282,9.4,285711,45713762,9.2
2017Q2,"Statewide Total",1512,293628,443965212,100.0,329622,498388670,100.0
2017Q3,Anchorage,692,335501,232166979,48.8,379436,262569889,49.2
2017Q3,Matanuska-Susitna,328,260859,85561710,18.0,290800,95382449,17.9
2017Q3,"Fairbanks North Star",212,229763,48709706,10.2,252351,53498335,10.0
2017Q3,"Kenai Peninsula",164,232944,38202739,8.0,258674,42422473,7.9
2017Q3,Juneau,64,353002,22592143,4.8,407029,26049871,4.9
2017Q3,"Ketchikan Gateway",25,255642,6391054,1.3,290640,7266000,1.4
2017Q3,"Kodiak Island",22,281233,6187115,1.3,320623,7053700,1.3
2017Q3,Bethel,1,209000,209000,.0,220000,220000,.0
