OBJECTID,ResidencyByState,FishingYear,FisheryGroup,PermitHolders,PermitsIssued,FishermenWhoFished,PermitsFished,EstimatedGrossEarnings,EarningsConfidentialityIfNoData,TotalPoundsLanded,PoundsConfidentialityIfNoData,PoundsExclConfidentialData,EarningsExclConfidentialData,PeopleExclConfidentialData,PermitsExclConfidentialData,AsOfDate
96,Alaska,2012,Other Shellfish,693,814,317,368,13314369,,2675840,,,,,,2018/04/01 08:00:00+00
97,Alaska,2012,Sablefish,503,554,458,504,56104974,,14941432,,,,,,2018/04/01 08:00:00+00
98,Alaska,2012,Salmon,7602,8211,5642,5793,342174583,,397213601,,,,,,2018/04/01 08:00:00+00
99,Alaska,2011,All Fisheries Combined,10004,15506,7191,9850,780218614,,1010965401,,,,,,2018/04/01 08:00:00+00
100,Alaska,2011,Crab,724,842,443,510,83157220,,23557651,,,,,,2018/04/01 08:00:00+00
101,Alaska,2011,Halibut,1950,1995,1673,1682,,X,,X,27649774,130892142,1587,1591,2018/04/01 08:00:00+00
102,Alaska,2011,Herring,1373,1650,223,276,8584368,,75753416,,,,,,2018/04/01 08:00:00+00
103,Alaska,2011,Other Finfish,89,89,24,24,,X,,X,14414,15881,23,23,2018/04/01 08:00:00+00
104,Alaska,2011,Other Groundfish,1021,1294,564,643,92652581,,401181974,,,,,,2018/04/01 08:00:00+00
105,Alaska,2011,Other Shellfish,696,812,306,341,11561248,,2395395,,,,,,2018/04/01 08:00:00+00
106,Alaska,2011,Sablefish,497,547,456,510,63113212,,13409057,,,,,,2018/04/01 08:00:00+00
107,Alaska,2011,Salmon,7664,8277,5714,5864,389976445,,466924620,,,,,,2018/04/01 08:00:00+00
108,Alaska,2010,All Fisheries Combined,9959,15467,7024,9669,667399564,,1002889680,,,,,,2018/04/01 08:00:00+00
109,Alaska,2010,Crab,715,809,409,458,58559884,,22074300,,,,,,2018/04/01 08:00:00+00
110,Alaska,2010,Halibut,1973,2019,1699,1710,,X,,X,37364103,131591593,1621,1625,2018/04/01 08:00:00+00
111,Alaska,2010,Herring,1414,1710,308,393,17130318,,82042552,,,,,,2018/04/01 08:00:00+00
112,Alaska,2010,Other Finfish,91,91,44,44,,X,,X,46109,61407,43,43,2018/04/01 08:00:00+00
113,Alaska,2010,Other Groundfish,909,1158,469,529,71929952,,352863512,,,,,,2018/04/01 08:00:00+00
114,Alaska,2010,Other Shellfish,699,823,341,389,10109833,,2653880,,,,,,2018/04/01 08:00:00+00
115,Alaska,2010,Sablefish,500,555,459,513,44103491,,12533859,,,,,,2018/04/01 08:00:00+00
116,Alaska,2010,Salmon,7687,8302,5500,5633,333624658,,493196395,,,,,,2018/04/01 08:00:00+00
117,Alaska,2009,All Fisheries Combined,9962,15385,6763,9258,481636470,,806482879,,,,,,2018/04/01 08:00:00+00
118,Alaska,2009,Crab,644,728,337,373,40992507,,18797449,,,,,,2018/04/01 08:00:00+00
119,Alaska,2009,Halibut,2051,2100,1724,1736,90625591,,39221549,,,,,,2018/04/01 08:00:00+00
120,Alaska,2009,Herring,1409,1692,313,401,18894068,,68285942,,,,,,2018/04/01 08:00:00+00
121,Alaska,2009,Other Finfish,114,114,42,42,29049,,25718,,,,,,2018/04/01 08:00:00+00
122,Alaska,2009,Other Groundfish,967,1256,470,544,51354238,,249530656,,,,,,2018/04/01 08:00:00+00
123,Alaska,2009,Other Shellfish,524,640,260,291,7446445,,2762652,,,,,,2018/04/01 08:00:00+00
124,Alaska,2009,Sablefish,511,571,456,522,39400089,,13164075,,,,,,2018/04/01 08:00:00+00
125,Alaska,2009,Salmon,7709,8284,5271,5349,232894482,,414694838,,,,,,2018/04/01 08:00:00+00
126,Alaska,2008,All Fisheries Combined,10045,15630,7019,9585,621027467,,833321152,,,,,,2018/04/01 08:00:00+00
127,Alaska,2008,Crab,656,752,360,412,50535169,,20941455,,,,,,2018/04/01 08:00:00+00
128,Alaska,2008,Halibut,2104,2153,1836,1849,139018686,,33872115,,,,,,2018/04/01 08:00:00+00
129,Alaska,2008,Herring,1409,1668,288,366,21002760,,67162198,,,,,,2018/04/01 08:00:00+00
130,Alaska,2008,Other Finfish,94,94,26,26,21209,,21209,,,,,,2018/04/01 08:00:00+00
131,Alaska,2008,Other Groundfish,1030,1358,506,582,89340341,,274763215,,,,,,2018/04/01 08:00:00+00
132,Alaska,2008,Other Shellfish,544,680,256,304,5913083,,2445883,,,,,,2018/04/01 08:00:00+00
133,Alaska,2008,Sablefish,508,571,454,518,44129772,,15800632,,,,,,2018/04/01 08:00:00+00
134,Alaska,2008,Salmon,7766,8354,5443,5528,271066446,,418314445,,,,,,2018/04/01 08:00:00+00
135,Alaska,2007,All Fisheries Combined,10215,15730,7097,9548,559959151,,955321755,,,,,,2018/04/01 08:00:00+00
136,Alaska,2007,Crab,668,770,368,416,44929636,,18933398,,,,,,2018/04/01 08:00:00+00
137,Alaska,2007,Halibut,2227,2280,1923,1937,,X,,X,34161222,142963864,1922,1936,2018/04/01 08:00:00+00
138,Alaska,2007,Herring,1449,1712,227,278,12056640,,49793873,,,,,,2018/04/01 08:00:00+00
139,Alaska,2007,Other Finfish,78,78,24,24,8672,,9044,,,,,,2018/04/01 08:00:00+00
140,Alaska,2007,Other Groundfish,984,1249,446,489,69554602,,279301182,,,,,,2018/04/01 08:00:00+00
141,Alaska,2007,Other Shellfish,558,688,266,312,6577084,,2597508,,,,,,2018/04/01 08:00:00+00
142,Alaska,2007,Sablefish,515,581,463,533,38181219,,15690459,,,,,,2018/04/01 08:00:00+00
143,Alaska,2007,Salmon,7806,8372,5475,5559,245686076,,554834800,,,,,,2018/04/01 08:00:00+00
144,California,2022,All Fisheries Combined,194,229,149,163,39696547, ,115172297, ,,,,,2024/01/02 09:00:00+00
145,California,2022,Crab,8,10,6,6,2674357, ,499949, ,,,,,2024/01/02 09:00:00+00
146,California,2022,Halibut,9,10,8,8,0,Yes,0,Yes,195802,1143987,7,7,2024/01/02 09:00:00+00
147,California,2022,Herring,8,9,1,1,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
148,California,2022,Other Groundfish,9,10,5,5,13960741, ,98902209, ,,,,,2024/01/02 09:00:00+00
149,California,2022,Other Shellfish,13,19,4,5,0,Yes,0,Yes,52833,183496,4,4,2024/01/02 09:00:00+00
150,California,2022,Sablefish,5,5,3,3,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
151,California,2022,Salmon,164,166,134,135,19854843, ,15038270, ,,,,,2024/01/02 09:00:00+00
152,California,2021,All Fisheries Combined,212,243,151,163,35692206, ,177418760, ,,,,,2024/01/02 09:00:00+00
153,California,2021,Crab,5,7,4,4,3326635, ,692903, ,,,,,2024/01/02 09:00:00+00
154,California,2021,Halibut,7,9,6,6,0,Yes,0,Yes,192021,1007118,5,5,2024/01/02 09:00:00+00
155,California,2021,Herring,9,10,1,1,0,Yes,0,Yes,,,,,2024/01/02 09:00:00+00
