X,Y,OBJECTID,CommunityName,EntityName,GradCount,DataYear,AsOfDate,SchoolDistrict,Shape
-18063237.3267525,9507931.46963159,107,Elim,Aniguiin School,8,2016,2017/02/21 09:00:00+00,Bering Strait Schools,
-18063237.3267525,9507931.46963159,108,Elim,Aniguiin School,2,2017,2018/01/17 09:00:00+00,Bering Strait Schools,
-18063237.3267525,9507931.46963159,109,Elim,Aniguiin School,5,2015,2016/03/09 09:00:00+00,Bering Strait Schools,
-18063237.3267525,9507931.46963159,110,Elim,Aniguiin School,6,2013,2014/01/22 09:00:00+00,Bering Strait Schools,
-18063237.3267525,9507931.46963159,111,Elim,Aniguiin School,2,2014,2015/01/23 09:00:00+00,Bering Strait Schools,
-18084586.6818609,8602090.54140091,112,Nunapitchuk,Anna Tobeluk Memorial School,3,2013,2014/01/22 09:00:00+00,Lower Kuskokwim Schools,
-18084586.6818609,8602090.54140091,113,Nunapitchuk,Anna Tobeluk Memorial School,5,2015,2016/03/09 09:00:00+00,Lower Kuskokwim Schools,
-18084586.6818609,8602090.54140091,114,Nunapitchuk,Anna Tobeluk Memorial School,5,2014,2015/01/23 09:00:00+00,Lower Kuskokwim Schools,
-18084586.6818609,8602090.54140091,115,Nunapitchuk,Anna Tobeluk Memorial School,6,2017,2018/01/17 09:00:00+00,Lower Kuskokwim Schools,
-18084586.6818609,8602090.54140091,116,Nunapitchuk,Anna Tobeluk Memorial School,3,2016,2017/02/21 09:00:00+00,Lower Kuskokwim Schools,
-18037887.2248422,9218573.63590693,117,Saint Michael,Anthony A. Andrews School,12,2016,2017/02/21 09:00:00+00,Bering Strait Schools,
-18037887.2248422,9218573.63590693,118,Saint Michael,Anthony A. Andrews School,10,2017,2018/01/17 09:00:00+00,Bering Strait Schools,
-18037887.2248422,9218573.63590693,119,Saint Michael,Anthony A. Andrews School,6,2015,2016/03/09 09:00:00+00,Bering Strait Schools,
-18037887.2248422,9218573.63590693,120,Saint Michael,Anthony A. Andrews School,7,2013,2014/01/22 09:00:00+00,Bering Strait Schools,
-18037887.2248422,9218573.63590693,121,Saint Michael,Anthony A. Andrews School,7,2014,2015/01/23 09:00:00+00,Bering Strait Schools,
-17927307.6000088,10108603.8742004,122,Noorvik,Aqqaluk High/Noorvik Elementary,6,2013,2014/01/22 09:00:00+00,Northwest Arctic Borough Schools,
-17927307.6000088,10108603.8742004,123,Noorvik,Aqqaluk High/Noorvik Elementary,0,2014,2015/01/23 09:00:00+00,Northwest Arctic Borough Schools,
-17927307.6000088,10108603.8742004,124,Noorvik,Aqqaluk High/Noorvik Elementary,8,2017,2018/01/17 09:00:00+00,Northwest Arctic Borough Schools,
-17927307.6000088,10108603.8742004,125,Noorvik,Aqqaluk High/Noorvik Elementary,7,2015,2016/03/09 09:00:00+00,Northwest Arctic Borough Schools,
-17927307.6000088,10108603.8742004,126,Noorvik,Aqqaluk High/Noorvik Elementary,8,2016,2017/02/21 09:00:00+00,Northwest Arctic Borough Schools,
-16200942.1844187,10485276.6339908,127,Arctic Village,Arctic Village School,0,2016,2017/02/21 09:00:00+00,Yukon Flats Schools,
-16200942.1844187,10485276.6339908,128,Arctic Village,Arctic Village School,0,2015,2016/03/09 09:00:00+00,Yukon Flats Schools,
-16200942.1844187,10485276.6339908,129,Arctic Village,Arctic Village School,2,2017,2018/01/17 09:00:00+00,Yukon Flats Schools,
-16200942.1844187,10485276.6339908,130,Arctic Village,Arctic Village School,0,2014,2015/01/23 09:00:00+00,Yukon Flats Schools,
-16200942.1844187,10485276.6339908,131,Arctic Village,Arctic Village School,4,2013,2014/01/22 09:00:00+00,Yukon Flats Schools,
-18013417.6093424,8182982.45474827,132,Platinum,Arviq School,0,2013,2014/01/22 09:00:00+00,Lower Kuskokwim Schools,
-18013417.6093424,8182982.45474827,133,Platinum,Arviq School,0,2014,2015/01/23 09:00:00+00,Lower Kuskokwim Schools,
-18013417.6093424,8182982.45474827,134,Platinum,Arviq School,0,2015,2016/03/09 09:00:00+00,Lower Kuskokwim Schools,
-18013417.6093424,8182982.45474827,135,Platinum,Arviq School,0,2017,2018/01/17 09:00:00+00,Lower Kuskokwim Schools,
-18013417.6093424,8182982.45474827,136,Platinum,Arviq School,0,2016,2017/02/21 09:00:00+00,Lower Kuskokwim Schools,
-16685340.1627148,8676025.29543782,137,Anchorage,Avail School,17,2013,2014/01/22 09:00:00+00,Anchorage Schools,
-16685340.1627148,8676025.29543782,138,Anchorage,Avail School,19,2014,2015/01/23 09:00:00+00,Anchorage Schools,
-16685340.1627148,8676025.29543782,139,Anchorage,AVAIL School,56,2017,2018/01/17 09:00:00+00,Anchorage Schools,
-16685340.1627148,8676025.29543782,140,Anchorage,Avail School,29,2015,2016/03/09 09:00:00+00,Anchorage Schools,
-16685340.1627148,8676025.29543782,141,Anchorage,Avail School,42,2016,2017/02/21 09:00:00+00,Anchorage Schools,
-18132504.8609913,8390713.64675513,142,Kongiganak,Ayagina'ar Elitnaurvik,4,2017,2018/01/17 09:00:00+00,Lower Kuskokwim Schools,
-18132504.8609913,8390713.64675513,143,Kongiganak,Ayagina'ar Elitnaurvik,7,2016,2017/02/21 09:00:00+00,Lower Kuskokwim Schools,
-18132504.8609913,8390713.64675513,144,Kongiganak,Ayagina'ar Elitnaurvik,12,2015,2016/03/09 09:00:00+00,Lower Kuskokwim Schools,
-18132504.8609913,8390713.64675513,145,Kongiganak,Ayagina'ar Elitnaurvik,4,2014,2015/01/23 09:00:00+00,Lower Kuskokwim Schools,
-18132504.8609913,8390713.64675513,146,Kongiganak,Ayagina'ar Elitnaurvik,3,2013,2014/01/22 09:00:00+00,Lower Kuskokwim Schools,
-18326462.7422387,8611341.32430746,147,Newtok,Ayaprun School,3,2013,2014/01/22 09:00:00+00,Lower Kuskokwim Schools,
-18326462.7422387,8611341.32430746,148,Newtok,Ayaprun School,10,2014,2015/01/23 09:00:00+00,Lower Kuskokwim Schools,
-18326462.7422387,8611341.32430746,149,Newtok,Ayaprun School,6,2015,2016/03/09 09:00:00+00,Lower Kuskokwim Schools,
-18326462.7422387,8611341.32430746,150,Newtok,Ayaprun School,6,2016,2017/02/21 09:00:00+00,Lower Kuskokwim Schools,
-18326462.7422387,8611341.32430746,151,Newtok,Ayaprun School,7,2017,2018/01/17 09:00:00+00,Lower Kuskokwim Schools,
-17451463.0717495,11501931.8269546,152,Utqiagvik,Barrow High School,44,2017,2018/01/17 09:00:00+00,North Slope Borough Schools,
-17451463.0717495,11501931.8269546,153,Utqiagvik,Barrow High School,38,2016,2017/02/21 09:00:00+00,North Slope Borough Schools,
-17451463.0717495,11501931.8269546,154,Utqiagvik,Barrow High School,37,2015,2016/03/09 09:00:00+00,North Slope Borough Schools,
-17451463.0717495,11501931.8269546,155,Utqiagvik,Barrow High School,28,2014,2015/01/23 09:00:00+00,North Slope Borough Schools,
-17451463.0717495,11501931.8269546,156,Utqiagvik,Barrow High School,42,2013,2014/01/22 09:00:00+00,North Slope Borough Schools,
-14739264.8795658,7467351.54496606,157,Kasaan,Barry Craig Stewart Kasaan School,0,2013,2014/01/22 09:00:00+00,Southeast Island Schools,
-14739264.8795658,7467351.54496606,158,Kasaan,Barry Craig Stewart Kasaan School,0,2014,2015/01/23 09:00:00+00,Southeast Island Schools,
-14739264.8795658,7467351.54496606,159,Kasaan,Barry Craig Stewart Kasaan School,1,2015,2016/03/09 09:00:00+00,Southeast Island Schools,
-14739264.8795658,7467351.54496606,160,Kasaan,Barry Craig Stewart Kasaan School,2,2016,2017/02/21 09:00:00+00,Southeast Island Schools,
-14739264.8795658,7467351.54496606,161,Kasaan,Barry Craig Stewart Kasaan School,0,2017,2018/01/17 09:00:00+00,Southeast Island Schools,
-16668215.2975678,8679344.94844518,162,Anchorage,Bartlett High School,288,2014,2015/01/23 09:00:00+00,Anchorage Schools,
-16668215.2975678,8679344.94844518,163,Anchorage,Bartlett High School,287,2013,2014/01/22 09:00:00+00,Anchorage Schools,
-16668215.2975678,8679344.94844518,164,Anchorage,Bartlett High School,289,2016,2017/02/21 09:00:00+00,Anchorage Schools,
-16668215.2975678,8679344.94844518,165,Anchorage,Bartlett High School,317,2015,2016/03/09 09:00:00+00,Anchorage Schools,
-16668215.2975678,8679344.94844518,166,Anchorage,Bartlett High School,297,2017,2018/01/17 09:00:00+00,Anchorage Schools,
-16372256.2945318,9523199.47412412,167,Eielson AFB,Ben Eielson Jr/Sr High School,47,2017,2018/01/17 09:00:00+00,Fairbanks North Star Borough Schools,
-16372256.2945318,9523199.47412412,168,Eielson AFB,Ben Eielson Jr/Sr High School,46,2016,2017/02/21 09:00:00+00,Fairbanks North Star Borough Schools,
