X,Y,OBJECTID,Place,Geo_Src,e_Per_Capita_Income,m_Per_Capita_Income,e_median_Household_Income,m_median_Household_Income,e_median_Family_Income,m_median_Family_Income,e_Pop_of_Poverty_Det,m_Pop_of_Poverty_Det,e_Pop_Below_125pct_Poverty,m_Pop_Below_125pct_Poverty,e_Pop_Below_Poverty,m_Pop_Below_Poverty,e_Pop_18_64_of_Poverty_Det,m_Pop_18_64_of_Poverty_Det,e_Pop_18_64_Below_Poverty,m_Pop_18_64_Below_Poverty,e_Pop_65_plus_of_Poverty_Det,m_Pop_65_plus_of_Poverty_Det,e_Pop_65_plus_Below_Poverty,m_Pop_65_plus_Below_Poverty,e_Pop_under_18_of_Poverty_Det,m_Pop_under_18_of_Poverty_Det,e_Pop_under_18_Below_Poverty,m_Pop_under_18_Below_Poverty,e_Households_Below_Poverty,m_Households_Below_Poverty,Start_Year,End_Year,PlaceID
-16453332.4338201,9570778.8919546,3556,College,P,35163,6107,72602,6166,95407,4713,,,,,,,,,,,,,,,,,,,181,102,2007,2011,{BF7F929A-CAE2-486C-83EF-C7AF2FADFA2B}
-16676595.5791161,8510749.69663507,3557,Cooper Landing,P,44716,6333,116147,627,116353,574,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{CB929A5F-AF01-4DE3-8855-87193B97F75F}
-16175312.0055638,8848480.42628687,3558,Copper Center,P,22708,5598,44792,33614,55500,30858,,,,,,,,,,,,,,,,,,,18,14,2007,2011,{609CFD2F-EC75-4F32-BDD7-C33D0C9FECE2}
-16225948.4460254,8521876.53212947,3559,Cordova,P,34412,3900,79750,14317,97171,14490,,,,,,,,,,,,,,,,,,,6,9,2007,2011,{3921BE55-50DD-4433-8958-D5D2F2D001AE}
-15138316.180303,8265975.50286927,3560,Covenant Life,P,25698,4310,170096,313024,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{E4085300-359F-4509-9843-50524D6A0692}
-14822310.7172787,7454810.18503479,3561,Craig,P,26651,3316,58164,10193,72188,21570,,,,,,,,,,,,,,,,,,,49,25,2007,2011,{CAEF7CF3-5B35-45C3-9D11-A9E32B99E79B}
-17600258.9864611,8828483.63717886,3562,Crooked Creek,P,11540,4494,29688,13408,31875,19058,,,,,,,,,,,,,,,,,,,7,5,2007,2011,{8B69F4F5-9833-40B1-B264-CBE2A5544BC8}
-16627741.9393352,8493690.12094984,3563,Crown Point,P,19577,3415,,,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{07E54FE2-DCBE-4AD4-8894-6E012A80DDB1}
-18114891.8501924,9897862.18415849,3564,Deering,P,16596,5770,36250,14726,35625,11465,,,,,,,,,,,,,,,,,,,3,4,2007,2011,{A2CE0B1C-09FD-4927-A2E9-B20CC0109806}
-16223331.6925964,9361751.89718577,3565,Delta Junction,P,36112,5360,75750,18938,89306,23503,,,,,,,,,,,,,,,,,,,3,7,2007,2011,{763EEB4F-118C-4AEA-A931-D707FE999A12}
-16160672.5513182,9321163.46278051,3566,Deltana,P,27062,4424,57500,21840,75096,20777,,,,,,,,,,,,,,,,,,,40,35,2007,2011,{AB4874F1-29EA-49F7-9573-6DC9A2C45F81}
-16871303.7259016,8327977.94967564,3567,Diamond Ridge,P,32939,5958,59083,12797,83750,25244,,,,,,,,,,,,,,,,,,,8,10,2007,2011,{C8495E9B-FA1E-4A9D-90EA-248D8DB63522}
-17640029.2383221,8188902.08219489,3568,Dillingham,P,33539,2946,67782,4348,85556,22329,,,,,,,,,,,,,,,,,,,45,27,2007,2011,{08E18522-8DAC-4DFC-975E-26751FE81958}
-18807627.4390229,9811020.63817553,3569,Diomede,P,13285,6482,42500,13728,33333,16515,,,,,,,,,,,,,,,,,,,12,9,2007,2011,{9E47594D-5392-4A49-8FCD-026556C904AE}
-16036561.2555728,9263429.15495555,3570,Dot Lake,P,,,,,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{03A313E3-0987-4B72-8EC9-6C92E01A12A2}
-16035499.1835844,9262839.66483944,3571,Dot Lake Village,P,12899,6487,43333,41399,41667,36170,,,,,,,,,,,,,,,,,,,8,10,2007,2011,{4B63BED6-48D5-4881-B4C0-D73B0D2651F2}
-16097000.0382138,9267756.62343433,3572,Dry Creek,P,,,,,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{64B2729B-A777-4917-9D20-77822FE68CFE}
-15701145.1188037,9541571.00919845,3573,Eagle Village,P,13515,7168,20417,17884,,,,,,,,,,,,,,,,,,,,,0,78,2007,2011,{F6BC6030-25E0-4E0A-BA46-B294A0338BDA}
