X,Y,CommunityName,HFRetailGal,EntityName,ReportingPeriod,ReportingYear,AsOfDate,OBJECTID,ReportingSeason,ReportingDate
-110126.419518891,1751240.80768989,Huslia,5.7,Huslia Gas and Oil,Jan,2018,,140,Winter,2018/01/15 09:00:00+00
1128714.87957736,1089944.96465042,Juneau,2.9,Delta Western,Jan,2018,,141,Winter,2018/01/15 09:00:00+00
1198537.96643152,956568.247197351,Kake,3.85,Kake Tribal Fuel,Jan,2018,,142,Winter,2018/01/15 09:00:00+00
399600.549366245,2270028.55604022,Kaktovik,2.5,Kaktovik Inupiat Corporation,Jan,2018,,143,Winter,2018/01/15 09:00:00+00
-228052.174361995,1604048.17941984,Kaltag,4,Kaltag Cooperative,Jan,2018,,144,Winter,2018/01/15 09:00:00+00
-281947.629636162,1904401.94665282,Kiana,5.5,City of Kiana,Jan,2018,,145,Winter,2018/01/15 09:00:00+00
-529656.810844552,593924.882474006,King Cove,,Peter Pan Seafood,Jan,2018,,146,Winter,2018/01/15 09:00:00+00
95027.5224326542,866747.9369809,Kodiak,2.88,Petro Marine,Jan,2018,,147,Winter,2018/01/15 09:00:00+00
-42350.9527616402,1049908.85482454,Kokhanok,5.6,Kokhanok Tribal Council,Jan,2018,,148,Winter,2018/01/15 09:00:00+00
-480768.456775202,1486120.89410419,Kotlik,4.4,Kotlik Yupik Enterprises,Jan,2018,,149,Winter,2018/01/15 09:00:00+00
-377013.715648148,1906544.48611949,Kotzebue,5.52,Crowley Fuel,Jan,2018,,150,Winter,2018/01/15 09:00:00+00
-338182.669797935,1681583.81082618,Koyuk,4.71,Koyuk Native Corporation,Jan,2018,,151,Winter,2018/01/15 09:00:00+00
-509341.421585239,1133719.63178881,Kwigillingok,4.5,KWIK Marina Inc.,Jan,2018,,152,Winter,2018/01/15 09:00:00+00
1110.1843822052,837018.823366526,Larsen Bay,3.6,City of Larsen Bay,Jan,2018,,153,Winter,2018/01/15 09:00:00+00
-422939.120937902,1348502.57937497,Marshall,5.26,Maserculiq Inc.,Jan,2018,,154,Winter,2018/01/15 09:00:00+00
