X,Y,OBJECTID,Place,Geo_Src,e_Pop_Total,m_Pop_Total,e_Pop_Male,m_Pop_Male,e_Pop_Female,m_Pop_Female,Start_Year,End_Year,PlaceID,IsMostRecent
-16719029.6188946,10229447.6395967,93,Coldfoot,P,0,78,0,78,0,78,2007,2011,{1210EAEB-20DF-40DD-8BAB-A09C48AE9887},
-16453332.4338201,9570778.8919546,94,College,P,13894,959,7305,587,6589,594,2007,2011,{BF7F929A-CAE2-486C-83EF-C7AF2FADFA2B},
-16676595.5791161,8510749.69663507,95,Cooper Landing,P,520,150,278,103,242,72,2007,2011,{CB929A5F-AF01-4DE3-8855-87193B97F75F},
-16175312.0055638,8848480.42628687,96,Copper Center,P,346,95,159,52,187,54,2007,2011,{609CFD2F-EC75-4F32-BDD7-C33D0C9FECE2},
-16225948.4460254,8521876.53212947,97,Cordova,P,2366,251,1415,183,951,132,2007,2011,{3921BE55-50DD-4433-8958-D5D2F2D001AE},
-15138316.180303,8265975.50286927,98,Covenant Life,P,100,126,50,75,50,54,2007,2011,{E4085300-359F-4509-9843-50524D6A0692},
-14822310.7172787,7454810.18503479,99,Craig,P,1315,147,706,88,609,84,2007,2011,{CAEF7CF3-5B35-45C3-9D11-A9E32B99E79B},
-17600258.9864611,8828483.63717886,100,Crooked Creek,P,148,48,74,19,74,37,2007,2011,{8B69F4F5-9833-40B1-B264-CBE2A5544BC8},
-16627741.9393352,8493690.12094984,101,Crown Point,P,47,51,25,35,22,29,2007,2011,{07E54FE2-DCBE-4AD4-8894-6E012A80DDB1},
-18114891.8501924,9897862.18415849,102,Deering,P,68,22,32,13,36,13,2007,2011,{A2CE0B1C-09FD-4927-A2E9-B20CC0109806},
-16223331.6925964,9361751.89718577,103,Delta Junction,P,900,177,512,114,388,96,2007,2011,{763EEB4F-118C-4AEA-A931-D707FE999A12},
-16160672.5513182,9321163.46278051,104,Deltana,P,1777,296,940,204,837,143,2007,2011,{AB4874F1-29EA-49F7-9573-6DC9A2C45F81},
-16871303.7259016,8327977.94967564,105,Diamond Ridge,P,1054,175,557,93,497,106,2007,2011,{C8495E9B-FA1E-4A9D-90EA-248D8DB63522},
-17640029.2383221,8188902.08219489,106,Dillingham,P,2207,196,1122,116,1085,113,2007,2011,{08E18522-8DAC-4DFC-975E-26751FE81958},
-18807627.4390229,9811020.63817553,107,Diomede,P,128,57,60,31,68,32,2007,2011,{9E47594D-5392-4A49-8FCD-026556C904AE},
