X,Y,OBJECTID,CommunityName,EntityName,FacilityName,WastewaterTreatmentSystemID,WastewaterTreatmentSystemClass,WastewaterTreatmentSystemSize,NumberOfServiceConnectionsToWWT,NumberofResidentsServedByWWT,WastewaterTreatmentSystemURL,DataYear,AsOfDate
399600.549522878,2270028.55628686,29,Kaktovik,North Slope Borough,Kaktovik (Barter IS) Wastewater Treatment System,37,2,"10,000 - 50,000",111,286,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kaktovik,2018,2018/09/01 09:00:00+00
-459491.849519205,1241856.61570698,30,Kasigluk,Kasigluk Traditional Elders Council,Kasigluk Wastewater Treatment System,74,Stabilization Pond,"less than 10,000",1,648,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kasigluk,2018,2018/09/01 09:00:00+00
150304.996499052,1177925.7016563,31,Kenai,City of Kenai,Kenai Wastewater Treatment System,294,2,"1,000,001 - 5,000,000",1793,5380,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kenai,2018,2018/09/01 09:00:00+00
1390950.75261407,828555.095764524,32,Ketchikan,City of Ketchikan,Ketchikan - Charcoal Point Wastewater Treatment System,291,2,"5,000,001 - 10,000,000",3163,8500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Ketchikan,2018,2018/09/01 09:00:00+00
1390950.75261407,828555.095764524,33,Ketchikan,Ketchikan Gateway Borough,KGB - Forest Park Wastewater Treatment System,10,1,"50,001 - 100,000",150,,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Ketchikan,2018,2018/09/01 09:00:00+00
1390950.75261407,828555.095764524,34,Ketchikan,Ketchikan Gateway Borough,KGB - Mountain Point Wastewater Treatment System,348,2,"10,000 - 50,000",257,,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Ketchikan,2018,2018/09/01 09:00:00+00
-154171.846612016,967957.789115918,35,King Salmon,Bristol Bay Borough,King Salmon Wastewater Treatment System,460,1,"50,001 - 100,000",125,465,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=King Salmon,2018,2018/09/01 09:00:00+00
1296632.86184224,821637.582091861,36,Klawock,City of Klawock,Klawock Wastewater Treatment System,313,1,"500,001 - 1,000,000",334,955,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Klawock,2018,2018/09/01 09:00:00+00
95027.5224946353,866747.936870668,37,Kodiak,City of Kodiak,Kodiak Wastewater Treatment System,317,3,"5,000,001 - 10,000,000",2570,9400,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kodiak,2018,2018/09/01 09:00:00+00
-377013.715663124,1906544.48634538,38,Kotzebue,City of Kotzebue,Kotzebue Wastewater Treatment System,325,Stabilization Pond,"500,001 - 1,000,000",1037,3104,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Kotzebue,2018,2018/09/01 09:00:00+00
250384.104505055,1539173.8270557,39,McKinley Park,McKinley Chalets Resort,McKinley Chalets Resort Wastewater Treatment System,480,1,"100,001 - 500,000",25,1000,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Denali Park,2018,2018/09/01 09:00:00+00
-174279.43204197,974059.912852393,40,Naknek,Bristol Bay Borough,Naknek Wastewater Treatment System,462,Stabilization Pond,"50,001 - 100,000",140,543,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Naknek,2018,2018/09/01 09:00:00+00
234989.287249103,1630972.24378677,41,Nenana,City of Nenana,Nenana Wastewater Treatment System,357,2,"50,001 - 100,000",226,432,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Nenana,2018,2018/09/01 09:00:00+00
-384157.774659532,1983045.85672393,42,Noatak,Native Village of Noatak,Noatak Wastewater Treatment System,472,Stabilization Pond,"50,001 - 100,000",106,500,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Noatak,2018,2018/09/01 09:00:00+00
-545130.115400416,1662011.78024891,43,Nome,City of Nome,Nome Wastewater Treatment System,367,1,"500,001 - 1,000,000",1250,3400,https://dec.alaska.gov/Applications/Water/OpCert/Home.aspx?p=SystemSearchResults&search=Nome,2018,2018/09/01 09:00:00+00
