X,Y,OBJECTID,Place,Geo_Src,e_Total_Pop,m_Total_Pop,e_One_Race,m_One_Race,e_AmInd_AKNat,m_AmInd_AKNat,e_Asian,m_Asian,e_Black_AfricanAm,m_Black_AfricanAm,e_NatHI_PacIslander,m_NatHI_PacIslander,e_Other_Race,m_Other_Race,e_White,m_White,e_Two_or_More,m_Two_or_More,e_Black_AfrAm_and_AmInd_AKNat,m_Black_AfrAm_and_AmInd_AKNat,e_White_and_AmInd_AKNat,m_White_and_AmInd_AKNat,e_White_and_Asian,m_White_and_Asian,e_White_and_Black_AfricanAm,m_White_and_Black_AfricanAm,Start_Year,End_Year,IsMostRecent,PlaceID
-18113349.5399095,7402060.39389685,92,Cold Bay,P,31,30,26,25,5,6,0,78,0,78,0,78,0,78,21,22,5,9,0,78,5,9,0,78,0,78,2007,2011,,{E5A46A8B-30C9-4FDF-A19D-A6A96277A26C}
-16719029.6188946,10229447.6395967,93,Coldfoot,P,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,2007,2011,,{1210EAEB-20DF-40DD-8BAB-A09C48AE9887}
-16453332.4338201,9570778.8919546,94,College,P,13894,959,12852,934,1462,354,499,157,543,289,55,57,231,160,10062,893,1042,399,1,3,476,249,223,131,210,242,2007,2011,,{BF7F929A-CAE2-486C-83EF-C7AF2FADFA2B}
-16676595.5791161,8510749.69663507,95,Cooper Landing,P,520,150,520,150,0,78,0,78,0,78,0,78,0,78,520,150,0,78,0,78,0,78,0,78,0,78,2007,2011,,{CB929A5F-AF01-4DE3-8855-87193B97F75F}
-16175312.0055638,8848480.42628687,96,Copper Center,P,346,95,344,95,200,76,0,78,0,78,0,78,0,78,144,56,2,3,2,3,0,78,0,78,0,78,2007,2011,,{609CFD2F-EC75-4F32-BDD7-C33D0C9FECE2}
-16225948.4460254,8521876.53212947,97,Cordova,P,2366,251,2196,260,249,131,316,103,0,78,0,78,0,78,1631,225,170,106,0,78,84,68,77,73,0,78,2007,2011,,{3921BE55-50DD-4433-8958-D5D2F2D001AE}
-15138316.180303,8265975.50286927,98,Covenant Life,P,100,126,76,94,0,78,0,78,0,78,0,78,0,78,76,94,24,33,0,78,24,33,0,78,0,78,2007,2011,,{E4085300-359F-4509-9843-50524D6A0692}
-14822310.7172787,7454810.18503479,99,Craig,P,1315,147,1217,140,213,66,14,12,0,78,17,23,17,22,956,139,98,46,0,78,83,44,12,10,0,78,2007,2011,,{CAEF7CF3-5B35-45C3-9D11-A9E32B99E79B}
-17600258.9864611,8828483.63717886,100,Crooked Creek,P,148,48,141,48,127,42,0,78,0,78,0,78,0,78,14,17,7,9,0,78,7,9,0,78,0,78,2007,2011,,{8B69F4F5-9833-40B1-B264-CBE2A5544BC8}
-16627741.9393352,8493690.12094984,101,Crown Point,P,47,51,47,51,0,78,0,78,0,78,0,78,4,8,43,51,0,78,0,78,0,78,0,78,0,78,2007,2011,,{07E54FE2-DCBE-4AD4-8894-6E012A80DDB1}
