X,Y,OBJECTID,CommunityName,EntityName,LocalTaxableFullValue,StateTaxableOilandGasFullValue,TotalFVD,Population,PerCapitaFullValue,FVDYear,TaxableDatabaseLink,PeriodStartDate,PeriodEndDate,DataYear,AsOfDate
-156.76100969,71.2893977300001,47,Utqiagvik,City of Utqiagvik,409989200,0,409989200,4469,91740,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-143.6128541,70.1266124700001,48,Kaktovik,City of Kaktovik,14838500,0,14838500,244,60813,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-150.99901621,70.21731414,49,Nuiqsut,City of Nuiqsut,21483400,0,21483400,470,45709,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-166.73427192,68.34808223,50,Point Hope,City of Point Hope,19977000,0,19977000,672,29727,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-160.03223052,70.63853949,51,Wainwright,City of Wainwright,24448100,0,24448100,558,43813,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-162.60007774,66.8951658300001,52,Northwest Arctic Borough,Northwest Arctic Borough,766543800,0,766543800,7944,96493,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-157.85652784,67.0864707800001,53,Ambler,City of Ambler,7313000,0,7313000,260,28126,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-161.12902024,65.9776538400001,54,Buckland,City of Buckland,7064000,0,7064000,507,13932,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-162.72884219,66.07667336,55,Deering,City of Deering,3640100,0,3640100,143,25455,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-160.43731917,66.9742028200001,56,Kiana,City of Kiana,11545100,0,11545100,421,27423,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-164.5399655,67.7273868300001,57,Kivalina,City of Kivalina,3814900,0,3814900,429,8892,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-156.88237275,66.9077009200001,58,Kobuk,City of Kobuk,3663800,0,3663800,148,24755,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-162.59298933,66.8966754200001,59,Kotzebue,City of Kotzebue,289988400,0,289988400,3295,88008,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-161.04682576,66.83334504,60,Noorvik,City of Noorvik,12553300,0,12553300,644,19492,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-160.01011021,66.60439151,61,Selawik,City of Selawik,16707000,0,16707000,847,19724,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-157.13819049,66.8880443,62,Shungnak,City of Shungnak,5470100,0,5470100,299,18294,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-132.95776302,56.8109592000001,63,Petersburg Borough,Petersburg Borough,448100900,0,448100900,3179,140956,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-132.97770415,56.81669536,64,Kupreanof,City of Kupreanof,3786100,0,3786100,21,180290,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-135.33862304,57.0490212600001,65,City and Borough of Sitka,City and Borough of Sitka,1318435400,0,1318435400,8920,147806,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-135.31169114,59.45573152,66,Municipality of Skagway,Municipality of Skagway,384713200,0,384713200,1065,361233,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-132.3836088,56.470404,67,Wrangell,City and Borough of Wrangell,216853100,0,216853100,2458,88223,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-139.75003244,59.5587609,68,City and Borough of Yakutat,City and Borough of Yakutat,86279600,0,86279600,594,145251,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-145.76017488,60.54406292,69,Cordova,City of Cordova,316413700,9301190,325714890,2386,136510,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-133.15108263,55.4760442100001,70,Craig,City of Craig,155823200,0,155823200,1102,141400,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-158.46307877,59.0393744300001,71,Dillingham,City of Dillingham,247796600,0,247796600,2316,106993,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-141.2075972,64.7889396800001,72,Eagle,City of Eagle,11398400,0,11398400,79,144283,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-156.87712316,64.7426528600001,73,Galena,City of Galena,37246600,0,37246600,488,76325,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-135.44570828,58.10953807,74,Hoonah,City of Hoonah,80982200,0,80982200,793,102121,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-132.8235136,55.2059259000001,75,Hydaburg,City of Hydaburg,18727600,0,18727600,404,46355,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-133.9447988,56.9744498800001,76,Kake,City of Kake,35930900,0,35930900,605,59389,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-133.09603454,55.55450419,77,Klawock,City of Klawock,66499600,0,66499600,814,81694,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-149.09074136,64.56270921,78,Nenana,City of Nenana,30993300,0,30993300,381,81347,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-165.40855986,64.49808969,79,Nome,City of Nome,397302400,0,397302400,3777,105189,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-136.22974756,57.9606687,80,Pelican,City of Pelican,13740700,0,13740700,78,176162,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-163.17516104,62.0514716000001,81,Saint Mary's,City of Saint Mary's,33319500,0,33319500,587,56762,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
-152.0777034,65.17118315,82,Tanana,City of Tanana,14707700,0,14707700,224,65659,2017,https://www.commerce.alaska.gov/dcra/dcrarepoext/Pages/AlaskaTaxableDatabase.aspx,2017/01/01 00:00:00+00,2017/12/31 00:00:00+00,2017,2018/08/10 00:00:00+00
