X,Y,OBJECTID,Place,Geo_Src,e_Households_Total,m_Households_Total,e_Household_Inc_under_10000,m_Household_Inc_under_10000,e_Household_Inc_10000_14999,m_Household_Inc_10000_14999,e_Household_Inc_25000_34999,m_Household_Inc_25000_34999,e_Household_Inc_35000_49999,m_Household_Inc_35000_49999,e_Household_Inc_50000_74999,m_Household_Inc_50000_74999,e_Household_Inc_75000_99999,m_Household_Inc_75000_99999,e_Household_Inc_100000_149999,m_Household_Inc_100000_149999,e_Household_Inc_15000_24999,m_Household_Inc_15000_24999,e_Household_Inc_150000_199999,m_Household_Inc_150000_199999,e_Household_Inc_200000_Plus,m_Household_Inc_200000_Plus,e_Household_Median_Income,m_Household_Median_Income,e_Household_Mean_Income,m_Household_Mean_Income,e_Household_With_Earnings,m_Household_With_Earnings,e_Household_Mean_Earnings,m_Household_Mean_Earnings,e_Household_With_SS,m_Household_With_SS,e_Household_Mean_SS_Income,m_Household_Mean_SS_Income,e_Household_Mean_Retire_Inc,m_Household_Mean_Retire_Inc,e_Household_Mean_Sup_SS_Inc,m_Household_Mean_Sup_SS_Inc,e_Household_Mean_Assist_Inc,m_Household_Mean_Assist_Inc,Start_Year,End_Year,IsMostRecent,PlaceID
-17758530.6291833,8759944.08337012,48,Aniak,P,193,31,13,10,5,5,12,9,24,12,19,16,54,18,28,15,30,17,8,8,0,78,60673,6525,65128,8122,155,30,62135,9179,51,21,13114,2202,20059,9618,11620,4176,3603,900,2007,2011,,{4D22DC8A-9F5A-4C83-B835-F1133D6A8060}
-17833307.7073289,9015553.00610678,49,Anvik,P,36,14,5,7,14,10,3,4,7,7,0,78,3,4,4,6,0,78,0,78,0,78,14643,20979,28483,11460,29,13,25628,12425,11,9,6545,1681,,,,,4908,1719,2007,2011,,{AED9D55C-5519-4DA0-A4A7-28349D8498CD}
-16200942.2921759,10485277.8122488,50,Arctic Village,P,46,15,3,3,0,78,16,10,8,6,12,10,7,6,0,78,0,78,0,78,0,78,27000,14447,31354,4800,38,15,26026,3890,14,11,13321,3725,13700,46,,,,,2007,2011,,{3FD9E5F5-DE1E-47BC-A8FC-ECEFCA7C2EA8}
-19391877.4279502,6835970.93964706,51,Atka,P,24,13,0,78,0,78,0,78,4,5,0,78,0,78,12,12,2,3,0,78,6,7,96071,20090,122300,45959,24,13,110175,44843,2,3,12150,97,,,,,,,2007,2011,,{C80F8014-AF4E-4834-B4A8-DED62C0786C1}
-18064527.563622,8593130.12141586,52,Atmautluak,P,63,19,4,6,2,3,1,3,3,5,25,14,8,8,11,9,7,6,2,3,0,78,48750,10366,63092,12067,63,19,49676,12155,20,13,12095,2366,19767,48,3800,13,5800,1929,2007,2011,,{887F3239-34EE-4A3A-9B7A-522E212DA730}
-17524309.1239729,11227484.1041681,53,Atqasuk,P,84,24,3,4,7,9,0,78,10,9,16,14,20,13,7,7,14,9,7,8,0,78,56500,18189,66352,14118,70,24,52289,9819,31,15,14026,2839,13325,8852,4014,25,2931,780,2007,2011,,{A79A606F-AA69-4994-A5A0-5E8AFE9EBA9A}
19277285.2935183,6950872.61663701,54,Attu Station,P,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,,,,,0,78,,,0,78,,,,,,,,,2007,2011,,{4B169010-F268-45A8-8444-F0B5873ABDEE}
-16409897.2332955,9557080.87200411,55,Badger,P,6390,343,307,146,73,68,165,113,361,141,483,176,1300,258,1547,311,1572,294,385,149,197,110,82515,4742,88783,5760,5738,359,84392,5501,896,216,13782,2237,26363,5190,8408,3527,3225,887,2007,2011,,{DAC7203E-0D8F-434C-A2FA-C699EDD5B8CB}
-17450559.5702569,11501957.3747615,56,Utqiagvik,P,997,102,84,66,6,10,61,42,21,21,103,68,142,70,113,47,265,84,134,73,68,44,89153,16871,96412,10521,912,96,90176,10223,104,46,14815,3421,19851,7381,5524,858,2105,1725,2007,2011,,{2697EF3A-7387-4208-B455-A046543D1AA7}
-16631388.3051022,8437358.45632469,57,Bear Creek,P,665,148,0,78,28,43,35,30,82,72,17,26,151,94,144,87,163,83,45,51,0,78,78420,23242,78591,12974,608,141,73002,12796,129,91,20839,4809,16916,14081,,,9131,14,2007,2011,,{2B076D8C-6D9B-439C-90F1-92FEAE651E60}
-16408175.5504662,9976173.30142884,58,Beaver,P,31,14,3,4,9,7,6,7,6,7,1,3,2,3,0,78,4,7,0,78,0,78,20938,11467,34197,21488,30,15,30163,22613,3,4,6133,4314,,,,,5100,41,2007,2011,,{FF43C1B1-9D83-4F8A-B3B2-E404ACC9D5B1}
-16814033.880103,8665458.63172155,59,Beluga,P,43,57,0,78,2,3,0,78,0,78,0,78,41,57,0,78,0,78,0,78,0,78,66189,260,,,41,57,,,0,78,,,,,,,,,2007,2011,,{D72A5701-11AB-4596-AA0D-A2881CCB42B1}
-18008351.1575292,8578036.2426842,60,Bethel,P,1679,123,77,58,52,41,75,56,151,70,123,71,249,74,194,89,369,104,255,106,134,68,91302,12914,100158,10073,1541,137,99521,9516,147,72,11980,2983,23468,10979,8181,121,4748,1803,2007,2011,,{7B1302D1-C2B4-402C-8C43-141B93681692}
-16865833.0263745,10133834.8462918,61,Bettles,P,9,9,0,78,0,78,0,78,1,5,0,78,0,78,4,6,4,5,0,78,0,78,92188,78518,106189,45287,9,9,100767,43045,0,78,,,,,,,,,2007,2011,,{C4674250-987C-40CD-B550-D246607343D4}
-16234228.4764685,9387246.18503888,62,Big Delta,P,183,51,0,78,0,78,16,24,25,26,56,37,36,30,30,26,20,23,0,78,0,78,49345,18181,57952,10296,167,46,49482,10239,64,37,13609,3714,57130,16,5029,2637,,,2007,2011,,{3DD78FBE-F02D-4634-B206-835BAF4DDD8E}
