OBJECTID,EntityName,Graduates,In_Cohort,Rate,Year,shape
411,Nenana City School District,93,195,0.4769,2022,
412,Bristol Bay Borough School District,11,11,1,2022,
413,Fairbanks North Star Borough School District,599,791,0.7573,2022,
414,Kenai Peninsula Borough School District,503,653,0.7703,2022,
415,Southwest Region School District,23,31,0.7419,2022,
416,Sitka School District,66,87,0.7586,2022,
417,Haines Borough School District,11,12,0.9167,2022,
418,Yukon Flats School District,9,11,0.8182,2022,
419,Anchorage School District,2493,3042,0.8195,2022,
420,Skagway School District,5,6,0.8333,2022,
421,Lake and Peninsula Borough School District,21,25,0.84,2022,
422,Mount Edgecumbe,71,73,0.9726,2022,
423,Alaska Gateway School District,18,25,0.72,2022,
424,Valdez City School District,38,43,0.8837,2022,
425,Pelican City School District,1,2,0.5,2022,
426,Juneau Borough School District,307,356,0.8624,2022,
427,Lower Yukon School District,89,129,0.6899,2022,
